name,rating,category,address,phone,website,plus_code,latitude,longitude,review_count
BikeLab CPH,5.0,Bicycle Shop,"Vesterbrogade 54, 1620 København, Denmark", +45 61 62 25 66,https://www.bikelabcph.dk/," MHF3+3H Copenhagen, Denmark",55.6959383,12.4295805,26.0
YK Bicycle Workshop,4.6,Bicycle repair shop,"Tagensvej, 2200 København, Denmark", +45 42 67 42 44,No Website," PH22+9R Copenhagen, Denmark",55.6959383,12.4295805,46.0
Fix & Færdig Bike,4.7,Bicycle repair shop,"Amagerbrogade 59, 2300 København, Denmark", +45 93 97 56 58,https://fixogfaerdigbike.dk/," MJ63+R8 Copenhagen, Denmark",55.6959383,12.4295805,207.0
Ama'r Cykelservice,4.6,Bicycle Shop,"Holmbladsgade 27, 2300 København S, Denmark", +45 32 57 89 79,https://www.amarcykelservice.dk/," MJ84+3F Copenhagen, Denmark",55.6959383,12.4295805,130.0
Dennis & Lottes Cykler,4.9,Bicycle repair shop,"Nørre Voldgade 22, st, th, 1358 København, Denmark", +45 71 74 71 30,http://www.delocy.dk/," MHJ9+24 Copenhagen, Denmark",55.6959383,12.4295805,127.0
Cykelværksted,3.7,Bicycle Shop,"Nørregade 28C, 1165 København, Denmark",No Phone,No Website," MHJC+MJ Copenhagen, Denmark",55.6959383,12.4295805,3.0
Cykelværkstedet,4.3,Bicycle repair shop,"Enghavevej 51, 1674 København, Denmark", +45 32 17 73 43,No Website," MG9V+6W Copenhagen, Denmark",55.6959383,12.4295805,26.0
Kgs Have Cykler,4.9,Bicycle Shop,"Sølvgade 26, 1307 København, Denmark", +45 26 44 30 30,https://www.kgshavecykler.dk/," MHPJ+MQ Copenhagen, Denmark",55.6959383,12.4295805,166.0
Cykelringen | Cykelbutik med Salg & Reparation af Cykler,4.2,Bicycle repair shop,"Peter Bangs Vej 60, 2000 Frederiksberg, Denmark", +45 38 11 70 04,https://cykelringen.dk/," MGH5+HF Frederiksberg, Denmark",55.6789187,12.3644978,26.0
CYKELTHOMAS,4.8,Bicycle repair shop,"Øresundsvej 44, 2300 København, Denmark", +45 42 60 13 13,http://www.cykelthomas.dk/," MJ67+37 Copenhagen, Denmark",55.660234,12.4689877,109.0
Haider Cycle Workshop,2.1,Bicycle repair shop,"Gormsgade 1, 2200 København, Denmark", +45 52 92 71 49,https://haiderscykler.dk/," MGWW+R6 Copenhagen, Denmark",55.6970762,12.4013352,38.0
Recycles,4.8,Bicycle Shop,"Dybbølsgade 59, 1750 København, Denmark", +45 31 33 90 28,http://recycles.dk/," MG8X+PC Copenhagen Municipality, Denmark",55.6970762,12.4013352,66.0
Stjerner Cykelværksted,4.8,Bicycle Shop,"Åboulevard 9D, 1635 København, Denmark", +45 22 99 29 46,No Website," MHM4+69 Copenhagen, Denmark",55.6970762,12.4013352,106.0
cykel reparation,,Bicycle repair shop,"Anker Heegaards Gade 2, 1572 København, Denmark", +46 73 769 14 27,No Website," MHCF+M3 Copenhagen, Denmark",55.6970762,12.4013352,
KBH Ø Cykler,4.4,Bicycle Shop,"Østerbrogade 147, 2100 København, Denmark", +45 31 22 15 61,https://www.kbhcykler.dk/," PH7G+FV Copenhagen, Denmark",55.6970762,12.4013352,60.0
Cykel-fix,5.0,Warehouse,"Nørrebrogade 10, 2200 København, Denmark", +45 72 42 05 51,No Website," MHQ6+3V Copenhagen, Denmark",55.6970762,12.4013352,1.0
Rådhusstræde Cykler,4.2,Bicycle Shop,"Rådhusstræde 9, 1466 København, Denmark", +45 50 43 98 00,No Website," MHGF+MR Copenhagen, Denmark",55.6970762,12.4013352,17.0
Frankrigsgade Cykler,4.2,Bicycle repair shop,"Frankrigsgade 2, 2300 København, Denmark", +45 91 61 50 62,https://www.facebook.com/Frankrigsgade-Cykler-106674994626094," MJ64+55 Copenhagen, Denmark",55.6970762,12.4013352,25.0
Cykelhandler,4.6,Bicycle repair shop,"Hillerødgade 22, 2200 København, Denmark",No Phone,No Website," MGWR+W2 Copenhagen, Denmark",55.6970762,12.4013352,140.0
E-F Cykler,4.7,Road cycling,"Emdrupvej 14, 2100 København, Denmark", +45 39 29 89 68,No Website," PH93+GV Copenhagen, Denmark",55.6970762,12.4013352,50.0
Cykel Chefen,4.7,Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark", +45 71 45 50 73,No Website," MHJ6+RJ Copenhagen, Denmark",55.6970762,12.4013352,151.0
Grønttorvet City Cykler,3.8,Bicycle repair shop,"Kongeæblevej 9, 2500 København, Denmark", +45 64 63 32 22,No Website," MG43+7W Copenhagen, Denmark",55.6970762,12.4013352,27.0
Bike House I/S,4.6,Bicycle repair shop,"Amagerbrogade 97, st th, 2300 København S, Denmark", +45 36 20 05 88,https://www.instagram.com/bikehouse2300?igsh=NmlqZWF5eG1sdHd6," MJ54+MM Copenhagen, Denmark",55.6970762,12.4013352,21.0
Morbær cykler,4.8,Bicycle repair shop,"Vennemindevej 63, 2100 København, Denmark", +45 39 20 38 60,http://www.morbaercykler.dk/," PH79+CC Copenhagen, Denmark",55.6970762,12.4013352,25.0
Cykeltanken,5.0,Bicycle Shop,"Bådehavnsgade 42, 2450 København, Denmark", +45 40 23 14 33,http://www.cykeltanken.dk/,No Plus Code,55.640406,12.3945635,3.0
Cykelsmeden Amagerbrogade,4.9,Bicycle Shop,"Amagerbrogade 2, 2300 København, Denmark", +45 32 54 77 21,http://www.cykelsmeden-amager.dk/," MH9W+8G Copenhagen, Denmark",55.640406,12.3945635,69.0
ELME CYKLER,4.8,Road cycling,"Nørrebrogade 32, 2200 København N, Denmark", +45 60 60 60 18,http://www.elmecykler.dk/," MHQ5+HJ Copenhagen, Denmark",55.6889688,12.4148495,23.0
Vesterbro Bicycles by Jens Bernhard Nielsen,4.2,Bicycle repair shop,"Saxogade 111, 1662 København, Denmark", +45 33 22 66 42,https://www.vesterbrocykler.dk/," MH82+JM Copenhagen, Denmark",55.6889688,12.4148495,56.0
Ama'r Cykel Ekspert,3.2,Bicycle Shop,"Øresundsvej 22, 2300 København, Denmark", +45 53 65 88 15,No Website," MJ56+R8 Copenhagen, Denmark",55.6889688,12.4148495,15.0
Ms Cykelcenter,3.5,Bicycle repair shop,"Vester Farimagsgade 4, 1606 København, Denmark", +45 61 65 53 15,http://mscykler.dk/," MHF6+RX Copenhagen, Denmark",55.6889688,12.4148495,47.0
Elhassan Cykelværksted,4.8,Bicycle repair shop,"Nørrebrogade 203, 2200 København, Denmark", +45 35 83 70 78,No Website," MGXV+57 Copenhagen, Denmark",55.6979846,12.3305582,117.0
Norreport Bikes,3.8,Bicycle Shop,"Nørre Voldgade 11, 1358 København, Denmark", +45 50 82 00 04,https://norreportbikes.dk/," MHMC+78 Copenhagen, Denmark",55.6831486,12.426614,86.0
City Cykler,3.3,Bicycle repair shop,"Englandsvej 47, 2300 København, Denmark", +45 27 71 47 47,No Website," MJ33+84 Copenhagen, Denmark",55.6831486,12.426614,20.0
Marry cykler,5.0,Bicycle rental service,"Frederiksborgvej 50c, 2400 København, Denmark", +45 31 13 11 65,https://www.rentbike.nu/," PG4J+FW Copenhagen, Denmark",55.6831486,12.426614,176.0
Tukan Cykler,4.7,Bicycle repair shop,"Brigadevej 6, 2300 København, Denmark", +45 23 48 17 18,https://www.facebook.com/TukanCykler/," MJ72+4F Copenhagen, Denmark",55.6831486,12.426614,13.0
Bike fixer,4.8,Bicycle Shop,"Amager Landevej 139 A B, 2770 Kastrup, Denmark", +45 91 81 13 14,No Website," JJHF+99 Kastrup, Denmark",55.6284512,12.4792124,19.0
Bike fixer,4.8,Bicycle Shop,No Address, +45 32 96 14 11,No Website," MH8H+4J Copenhagen, Denmark",55.6284512,12.4792124,19.0
Københavns Cykelkooperativ,4.3,Bicycle Shop,"Blågårdsgade 13, 2200 København, Denmark", +45 35 35 34 46,http://www.kbhck.dk/," MHP5+RM Copenhagen, Denmark",55.6871125,12.4149511,31.0
Pedalatleten - Elcykel testcenter,3.7,Electric bicycle store,"Oslo Pl. 9, 2100 København, Denmark", +45 70 70 75 13,http://www.pedalatleten.dk/," MHRP+VH Copenhagen, Denmark",55.6871125,12.4149511,262.0
Cykeltech,,Bicycle repair shop,"Randersgade 57, kælder tv, 2100 København, Denmark", +45 31 31 89 99,https://www.cykeltech.dk/," PH4J+M3 Copenhagen, Denmark",55.6871125,12.4149511,
Brønshøj Cykelværksted,2.5,Bicycle Shop,"Frederikssundsvej 177a, st th, 2700 København, Denmark", +45 27 82 23 32,No Website," PF3W+RX Copenhagen, Denmark",55.6871125,12.4149511,8.0
Positif - Cykel Reparation,5.0,Bicycle repair shop,"Puggaardsgade 3, 1573 København, Denmark", +45 21 72 51 38,No Website," MHCF+RF Copenhagen, Denmark",55.6871125,12.4149511,1.0
Bike Time S.m.b.a,2.6,Bicycle Shop,"Amagerbrogade 124, 2300 København, Denmark", +45 93 91 01 81,http://biketime.dk/," MJ55+46 Copenhagen, Denmark",55.6871125,12.4149511,93.0
Cykelsmed,,Bicycle repair shop,"Borgergade 26, sal 45, 1300 København, Denmark",No Phone,No Website," MHMP+WG Copenhagen, Denmark",55.6871125,12.4149511,
FC Cykler,3.3,Bicycle repair shop,"Frederikssundsvej 312B, 2700 København, Denmark", +45 29 21 13 14,No Website," PF6F+MG Copenhagen, Denmark",55.711673,12.3296215,12.0
Bredgade14,4.9,Mobile phone repair shop,"Bredgade 14, 1260 København, Denmark", +45 22 22 12 21,https://centrumreparation.dk/butikker-centrumreparation/bredgade-14/," MHJQ+M7 Copenhagen Municipality, Denmark",55.6816767,12.4440325,22.0
Alex Cykler,4.1,Bicycle Shop,"Amagerfælledvej 21-23, 2300 København, Denmark", +45 32 57 22 70,http://www.alex-cykler.dk/," MH8W+92 Copenhagen Municipality, Denmark",55.6816767,12.4440325,85.0
Cykelstativ,,Bicycle rack,"2900 Copenhagen, Denmark",No Phone,No Website," PHGG+X6 Copenhagen, Denmark",55.7274578,12.4313864,
Offentlige cykelpumpe og cykel værktøj,5.0,Park,"JGFG+52, 2300 København, Denmark",No Phone,No Website,No Plus Code,55.6229427,12.3808843,1.0
Trianglen cykelparkering,,Bicycle rack,"Trianglen, 2100 København, Denmark",No Phone,No Website," MHXG+J8 Copenhagen, Denmark",55.6990596,12.4316404,
Cykelstyrken (Amager),3.1,Bicycle Shop,"Reberbanegade 3, 2300 København, Denmark", +45 32 57 68 48,https://www.cykelstyrken.dk/," MJ73+2W Copenhagen, Denmark",55.6990596,12.4316404,21.0
Bycyklen Docking Station - Studiestræde/Bispetorvet,4.7,Bike sharing station,"Studiestræde 1, 1455 København, Denmark",No Phone,http://bycyklen.dk/," MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404,3.0
CPH Bike Shop,4.4,Bicycle Shop,"Holmbladsgade 38, 2300 København S, Denmark", +45 32 96 34 28,https://www.cphbikeshop.dk/," MJ74+XF Copenhagen, Denmark",55.6990596,12.4316404,154.0
Bycyklen Docking Station - Pilestræde,3.7,Bike sharing station,"Pilestræde 65, 1112 København, Denmark", +45 89 88 39 10,https://bycyklen.dk/," MHJG+QR Copenhagen, Denmark",55.6990596,12.4316404,3.0
Bycyklen Docking Station - Rådhuspladsen,4.5,Bike sharing station,"H. C. Andersens Blvd. 22, 1553 København, Denmark", +45 89 88 39 10,https://bycyklen.dk/," MHG9+6F Copenhagen, Denmark",55.6990596,12.4316404,2.0
R. M. Cykler,2.8,Bicycle repair shop,"Prinsessegade 61, 1422 København, Denmark", +45 91 67 25 41,No Website," MHFX+WH Copenhagen, Denmark",55.6990596,12.4316404,16.0
Bycyklen Docking Station - Sifs Plads,1.0,Bike sharing station,"Rådmandsgade 90, 2200 København, Denmark", +45 89 88 39 10,https://bycyklen.dk/," PH34+7X Copenhagen, Denmark",55.6990596,12.4316404,1.0
Bike Sharing Station,4.0,Bike sharing station,"Studiestræde 1, 1455 København, Denmark",No Phone,No Website," MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404,1.0
Cykelstativet ApS,,Bicycle Shop,"Gammel Strand 42, 1202 København, Denmark", +45 33 33 05 00,No Website," MHHH+37 Copenhagen, Denmark",55.6990596,12.4316404,
Copenhagen Bikeshop,4.5,Bicycle Shop,"Jagtvej 68, 2200 København, Denmark", +45 81 74 16 96,http://www.copenhagenbikeshop.dk/," MHW2+99 Copenhagen, Denmark",55.6959924,12.4067819,46.0
Jagtvej Cykler 101,4.8,Bicycle Shop,"Jagtvej 101, 2200 København N, Denmark", +45 30 64 25 64,No Website," MHW2+84 Copenhagen, Denmark",55.6959924,12.4067819,275.0
P. H. Cycles,5.0,Bicycle Shop,"Blegdamsvej 130, 2100 København, Denmark", +45 35 42 33 11,https://www.facebook.com/pages/PH-Cykler/131757240368969," MHXG+CC Copenhagen, Denmark",55.6959924,12.4067819,79.0
Svanemøllens Cykler,5.0,Bicycle Shop,"Østerbrogade 165, 2100 København, Denmark", +45 39 20 42 90,http://svanemoellenscykler.dk/," PH8G+4V Copenhagen, Denmark",55.6959924,12.4067819,265.0
Garden Cykler,4.9,Bicycle repair shop,"Jagtvej 115, 2200 København, Denmark", +45 60 30 13 24,No Website," MHW2+JC Copenhagen, Denmark",55.6959924,12.4067819,96.0
Buddha Bikes,4.7,Bicycle Shop,"Emblasgade 175, 2100 København, Denmark",No Phone,http://www.buddhabikes.dk/," PH53+3H Copenhagen, Denmark",55.6959924,12.4067819,298.0
Sali's Bike,4.8,Bicycle Shop,"H. P. Ørums Gade 1, 2100 København, Denmark", +45 71 52 95 32,https://www.salisbike.dk/," PH56+X2 Copenhagen, Denmark",55.6959924,12.4067819,302.0
Lindhart Cykler,4.9,Bicycle Shop,"Rømersgade 7, 1362 København, Denmark", +45 40 70 83 57,https://www.facebook.com/lindhartcykler," MHM9+83 Copenhagen, Denmark",55.6959924,12.4067819,47.0
Neptun Cykler,3.6,Bicycle Shop,"Teglholmsgade 4C, 2450 København, Denmark", +45 61 50 50 81,https://neptuncykler.dk/," MG3V+69 Copenhagen, Denmark",55.6959924,12.4067819,182.0
Søgade Cykler,4.9,Bicycle Shop,"Sølvgade 104, 1307 København K, Denmark", +45 33 15 97 46,http://xn--sgadecykler-ggb.dk/," MHRC+7P Copenhagen, Denmark",55.6959924,12.4067819,64.0
CPH Bike Express,4.7,Bicycle Shop,"Borgbjergsvej 39, 2450 København, Denmark", +45 32 12 54 77,No Website," MG2P+4F Copenhagen, Denmark",55.6959924,12.4067819,154.0
Cykel Mesteren,4.8,Bicycle Shop,"Borgergade 26, 1300 Indre By, Denmark", +45 44 94 00 44,No Website," MHMP+WG Indre By, Copenhagen, Denmark",55.6959924,12.4067819,709.0
Gold Star Cykler v/Søren C Jørgensen,4.9,Bicycle Shop,"Amagerbrogade 9B, 2300 København, Denmark", +45 32 58 70 49,No Website," MH9W+3X Copenhagen, Denmark",55.6959924,12.4067819,54.0
Newton Cykler,4.7,Bicycle Shop,"Amagerbrogade 267, 2300 København, Denmark", +45 32 62 30 62,https://newtoncykler.dk/," JJV8+J7 Copenhagen, Denmark",55.6959924,12.4067819,46.0
Kongens Cykler,4.2,Bicycle Shop,"Store Kongensgade 63, 1264 København, Denmark", +45 50 41 50 73,No Website," MHMQ+V4 Copenhagen, Denmark",55.6959924,12.4067819,106.0
Retro Cykler,4.8,Bicycle Shop,"Jagtvej 79, 2200 København, Denmark", +45 60 15 94 44,No Website," MGVX+WM Copenhagen, Denmark",55.6959924,12.4067819,102.0
Arosa Cykler,4.9,Bicycle Shop,"Vesterbrogade 135, 1620 København, Denmark", +45 61 65 35 93,http://arosacykler.dk/," MGCR+36 Copenhagen, Denmark",55.6959924,12.4067819,47.0
Islands Brygge Cykler,4.4,Bicycle Shop,"Islands Brygge 15, 2300 København, Denmark", +45 32 20 20 57,https://www.facebook.com/Islandsbryggecykler/," MH9H+37 Copenhagen, Denmark",55.6959924,12.4067819,82.0
Vélo 94,4.3,Bicycle Shop,"Nørrebrogade 94, 2200 København N, Denmark", +45 24 88 00 01,https://velo94.dk/," MHV2+3M Copenhagen, Denmark",55.6959924,12.4067819,92.0
Adam Cykler,4.8,Bicycle Shop,"Vesterbrogade 92, 1620 København, Denmark", +45 61 66 63 98,http://www.vesterbrogade-shopping.dk/butik/adam-cykler-5047.html," MGCX+W9 Copenhagen, Denmark",55.6959924,12.4067819,45.0
Atlas Cykler,4.7,Bicycle Shop,"Frederikssundsvej 18B, 2400 København, Denmark", +45 35 82 78 74,http://www.atlascykler.dk/," PG2P+J5 Copenhagen, Denmark",55.6959924,12.4067819,61.0
Emdrup Cykler,4.6,Bicycle Shop,"Frederiksborgvej 182, 2400 København NV, Denmark", +45 20 61 46 60,No Website," PGCJ+7J Copenhagen, Denmark",55.6959924,12.4067819,56.0
A H Cycles,4.4,Bicycle Shop,"Istedgade 39, 1650 København, Denmark", +45 36 89 38 00,http://www.ahcykler.dk/," MH94+XF Copenhagen, Denmark",55.6959924,12.4067819,104.0
Bike Expert,4.8,Road cycling,"Kronprinsessegade 38, 1306 København, Denmark", +45 31 86 68 68,https://www.dba.dk/saelger/bike-expert/dbaboost/2497b837-c999-4f64-827c-87edacff9952," MHMM+W3 Copenhagen, Denmark",55.6959924,12.4067819,142.0
Rosenborg Cykler,4.5,Bicycle repair shop,"Rosenborggade 3, 1130 København, Denmark", +45 20 44 55 57,http://www.rosenborgcykler.dk/," MHMF+8G Copenhagen, Denmark",55.6959924,12.4067819,131.0
cykelexspres klassisk &EL,4.1,Bicycle Shop,"Nørrebrogade 46, 2200 København N, Denmark", +45 35 35 81 82,https://cykelexpres.dk/vare-kategori/herrecykler/," MHQ4+QM Copenhagen, Denmark",55.6959924,12.4067819,136.0
Cykel Hjørnet,4.9,Bicycle repair shop,"Nygårdsvej 27, 2100 København, Denmark", +45 42 72 29 71,No Website," PH6F+Q2 Copenhagen, Denmark",31.4802176,73.0923008,33.0
Noa cykler,3.9,Bicycle Shop,"Nordre Frihavnsgade 56, 2100 København, Denmark", +45 50 69 76 75,http://www.noacykler.dk/," PH2M+W7 Copenhagen, Denmark",31.4802176,73.0923008,77.0
Bike Rental Copenhagen,3.9,Bicycle rental service,"Kongens Nytorv 8, 1050 København, Denmark", +45 93 91 18 93,http://www.bikerentalcopenhagen.dk/," MHJP+HH Copenhagen, Denmark",31.4802176,73.0923008,99.0
"Niko Cycles - Rentals, Sales, & Service",4.1,Bicycle Shop,"Krusågade 2, 1719 København, Denmark", +45 71 43 26 07,No Website," MH83+RQ Copenhagen, Denmark",31.4802176,73.0923008,50.0
Christiania Bikes,4.3,Bicycle Shop,"Fabriksområdet 91, 1440 København K, Denmark", +45 70 70 76 80,https://christianiacykler.dk/," MJF2+FF Copenhagen, Denmark",31.4802176,73.0923008,48.0
Blegdams Cykler,4.6,Bicycle Shop,"Blegdamsvej 40, 2100 København, Denmark", +45 32 13 81 82,http://www.blegdamscykler.dk/," MHV8+79 Copenhagen, Denmark",31.4802176,73.0923008,37.0
Baisikeli,4.2,Bicycle Shop,"Ingerslevsgade 100, 1705 København, Denmark", +45 26 70 02 29,http://www.baisikeli.dk/," MG89+HF Copenhagen, Denmark",31.4802176,73.0923008,299.0
CPH Bike Rental,4.3,Bicycle rental service,"Valhøjvej 2, 2500 Valby, Denmark", +45 26 70 02 29,No Website," MG89+HF Valby, Copenhagen, Denmark",31.4802176,73.0923008,35.0
SPORT 24 OUTLET,3.8,Sporting goods store,"Rødovre Centrum 103, 2610 Rødovre, Denmark", +45 30 21 37 85,https://www.sport24.dk/stores/sport24outlet-rodovre?utm_medium=organic&utm_source=google&utm_campaign=gmb-web&utm_content=roedovre-roedovre-centrum-sport24outlet," MFH4+RG Rdovre, Denmark",31.4802176,73.0923008,211.0
Fri BikeShop,4.8,Bicycle Shop,"Østerbrogade 140, 2100 København Ø, Denmark", +45 69 69 21 00,https://www.fribikeshop.dk/butikker/koebenhavn/oesterbrogade," PH4H+W3 Copenhagen, Denmark",31.4802176,73.0923008,29.0
Heino Cykler,4.0,Bicycle Shop,"Lyngbyvej 165, 2100 København, Denmark", +45 43 43 22 39,https://www.heino-cykler.dk/," PH94+Q4 Copenhagen, Denmark",31.4802176,73.0923008,90.0
Saxil Cykler Østerbro,4.6,Bicycle Shop,"Østerfælled Torv 19, 2100 København, Denmark", +45 32 12 01 98,https://saxil-cykler.dk/," PH4G+7C Copenhagen, Denmark",31.4802176,73.0923008,117.0
Fri BikeShop,3.9,Bicycle Shop,"Tuborgvej 171, 2400 København NV, Denmark", +45 41 22 44 22,https://www.fribikeshop.dk/butikker/koebenhavn/nordvest," PG9V+R2 Copenhagen, Denmark",31.4802176,73.0923008,64.0
Velobless Cykler,4.5,Bicycle Shop,"Østerbrogade 147, 2100 København Ø, Denmark", +45 39 29 09 29,https://velobless.dk/," PH7G+FV Copenhagen, Denmark",31.4802176,73.0923008,10.0
Bryggen City Cykler,3.7,Bicycle Shop,"Leifsgade 1, 2300 København, Denmark", +45 35 36 92 22,https://m.facebook.com/people/Bryggen-City-Cykler/100065430521748/," MH8J+3M Copenhagen, Denmark",31.4802176,73.0923008,66.0
Vanløse cykelcenter,3.4,Bicycle Shop,"Jernbane Allé 88, 2720 København, Denmark", +45 82 82 88 88,http://www.vanlosecykelcenter.dk/," MFRQ+J2 Copenhagen Municipality, Denmark",31.4802176,73.0923008,37.0
Triathlonshop,4.7,Sporting goods store,"Bibliotekvej 53B, 1. sal, 2650 Hvidovre, Denmark", +45 60 72 18 54,https://triathlonshop.dk/," JFRC+C7 Hvidovre, Denmark",31.4802176,73.0923008,21.0
Loke Cykler,3.5,Bicycle Shop,"Nørrebrogade 10, 2200 København, Denmark", +45 24 88 00 03,http://www.lokecykler.dk/," MHQ6+2V Copenhagen, Denmark",31.4802176,73.0923008,12.0
Barholt Cykler,4.2,Bicycle Shop,"Østerbrogade 138, 2100 Østerbro, Denmark", +45 35 42 43 44,http://www.barholtcykler.dk/," PH4H+Q3 sterbro, Copenhagen, Denmark",31.4802176,73.0923008,92.0
Hr. Vélo,4.6,Bicycle Shop,"Vesterbrogade 135, 1620 København, Denmark",No Phone,http://www.hrvelo.dk/," MGCR+36 Copenhagen, Denmark",31.4802176,73.0923008,27.0
Chr.havn City Bikes,3.0,Bicycle Shop,"Torvegade 26, 1400 København, Denmark", +45 32 95 90 99,http://www.cykelshop24.dk/chrhavn-city-cykler-koebenhavn-k.htm," MHFQ+6R Copenhagen, Denmark",31.4802176,73.0923008,30.0
Cervéloshop,5.0,Bicycle Shop,"Istedgade 45, 1650 København, Denmark", +45 36 89 38 00,http://www.cerveloshop.dk/," MH94+V5 Copenhagen, Denmark",31.4802176,73.0923008,1.0
Byman Cykler,3.6,Bicycle repair shop,"Øster Farimagsgade 32, 2100 København, Denmark", +45 35 42 51 56,https://www.byman-cykler.dk/," MHRG+MJ Copenhagen, Denmark",31.4802176,73.0923008,47.0
Cykeljagt.dk,4.8,Bicycle Shop,"Peter Bangs Vej 112, 2000 Frederiksberg, Denmark", +45 38 79 15 44,No Website," MGH2+FH Frederiksberg, Denmark",31.4802176,73.0923008,18.0
Cykelfabrikken,4.4,Bicycle Shop,"Istedgade 92, 1650 København, Denmark", +45 27 12 32 32,http://www.cykelfabrikken.dk/," MH93+J2 Copenhagen, Denmark",31.4802176,73.0923008,7.0
Leadout Cycling,4.3,Bicycle Shop,"Strandvejen 60, 2900 Hellerup, Denmark", +45 23 63 63 16,https://leadoutcycling.com/," PHGG+WR Hellerup, Denmark",31.4802176,73.0923008,170.0
W.Cykler,2.2,Bicycle Shop,"Nordre Fasanvej 224, 2200 København N, Denmark",No Phone,No Website," MGXP+GH Copenhagen, Denmark",31.4802176,73.0923008,33.0
City Bike,4.7,Bicycle Shop,"Frederiksborggade 41, 1360 København, Denmark", +45 28 46 68 71,No Website," MHP8+69 Copenhagen, Denmark",31.4802176,73.0923008,27.0
Frb cyckelringen,5.0,Bicycle Shop,"Falkoner Alle 96, 2000 Frederiksberg, Denmark", +45 23 82 94 00,http://frb-cykelringen.dk/," MGPQ+9R Frederiksberg, Denmark",31.4802176,73.0923008,89.0
Egedal Cykler,3.2,Bicycle Shop,"Godthåbsvej 68, 2000 Frederiksberg, Denmark", +45 22 11 80 04,No Website," MGQH+46 Frederiksberg, Denmark",55.6878437,12.4919605,54.0
Expander Cykler,4.7,Bicycle Shop,"Frederiksborgvej 84, 2400 København, Denmark", +45 35 81 06 01,No Website," PG5J+7W Copenhagen, Denmark",55.6972507,12.5040097,70.0
Star Bike,5.0,Bicycle Shop,"Rantzausgade 4, 2200 København N, Denmark", +45 30 30 30 13,https://starbike.dk/," MHP3+55 Copenhagen, Denmark",55.6972507,12.5040097,146.0
Hafnia Cykler,4.2,Bicycle repair shop,"Stefansgade 51, 2200 København, Denmark", +45 28 97 58 28,No Website," MGVR+2C Copenhagen, Denmark",55.6925537,12.5050622,43.0
