name,rating,reviews,category,address,phone,website,plus_code,latitude,longitude
Sali's Bike,"4.8
(302)",(44),Bicycle Shop,"H. P. Ørums Gade 1, 2100 København, Denmark","
+45 71 52 95 32",https://www.salisbike.dk/,"
PH56+X2 Copenhagen, Denmark",55.6959924,12.4067819
Dennis & Lottes Cykler,"4.9
(127)",(44),Bicycle repair shop,"Nørre Voldgade 22, st, th, 1358 København, Denmark","
+45 71 74 71 30",http://www.delocy.dk/,"
MHJ9+24 Copenhagen, Denmark",55.6959924,12.4067819
A H Cycles,"4.4
(104)",(44),Bicycle Shop,"Istedgade 39, 1650 København, Denmark","
+45 36 89 38 00",http://www.ahcykler.dk/,"
MH94+XF Copenhagen, Denmark",55.6959924,12.4067819
Svanemøllens Cykler,"5.0
(264)",(44),Bicycle Shop,"Østerbrogade 165, 2100 København, Denmark","
+45 39 20 42 90",http://svanemoellenscykler.dk/,"
PH8G+4V Copenhagen, Denmark",55.6959924,12.4067819
Recycles,"4.8
(66)",(44),Bicycle Shop,"Dybbølsgade 59, 1750 København, Denmark","
+45 31 33 90 28",http://recycles.dk/,"
MG8X+PC Copenhagen Municipality, Denmark",55.6959924,12.4067819
Star Bike,"5.0
(146)",(44),Bicycle Shop,"Rantzausgade 4, 2200 København N, Denmark","
+45 30 30 30 13",https://starbike.dk/,"
MHP3+55 Copenhagen, Denmark",55.6959924,12.4067819
P. H. Cycles,"5.0
(79)",(44),Bicycle Shop,"Blegdamsvej 130, 2100 København, Denmark","
+45 35 42 33 11",https://www.facebook.com/pages/PH-Cykler/131757240368969,"
MHXG+CC Copenhagen, Denmark",55.6959924,12.4067819
Velobarista,"4.7
(15)",(44),Bicycle Shop,"Valdemarsgade 65, 1665 København V, Denmark","
+45 40 58 32 24",http://velobarista.dk/,"
MG8X+XP Copenhagen, Denmark",55.6959924,12.4067819
Luca's Cykler,"4.0
(102)",(44),Bicycle Shop,"Fredensgade 15A, 2200 København, Denmark","
+45 23 32 39 83",http://www.lucascykler.dk/,"
MHV8+6R Copenhagen, Denmark",55.6959924,12.4067819
CPH Bike Express,"4.7
(154)",(44),Bicycle Shop,"Borgbjergsvej 39, 2450 København, Denmark","
+45 32 12 54 77",No Website,"
MG2P+4F Copenhagen, Denmark",55.6959924,12.4067819
cykelexspres klassisk &EL,"4.1
(136)",(44),Bicycle Shop,"Nørrebrogade 46, 2200 København N, Denmark","
+45 35 35 81 82",https://cykelexpres.dk/vare-kategori/herrecykler/,"
MHQ4+QM Copenhagen, Denmark",55.6959924,12.4067819
Noa cykler,"3.9
(77)",(44),Bicycle Shop,"Nordre Frihavnsgade 56, 2100 København, Denmark","
+45 50 69 76 75",http://www.noacykler.dk/,"
PH2M+W7 Copenhagen, Denmark",55.6959924,12.4067819
Copenhagen Bike Fit,"4.6
(34)",(44),Bicycle Shop,"Randersgade 35, 2100 København, Denmark","
+45 61 65 19 92",http://copenhagenbikefit.dk/,"
PH3J+R8 Copenhagen, Denmark",55.6959924,12.4067819
Vesterbro City Cykler,"4.4
(43)",(44),Bicycle Shop,"Vesterbrogade 91F, 1620 København, Denmark","
+45 42 31 41 77",No Website,"
MGCW+QV Copenhagen, Denmark",55.6959924,12.4067819
Isak Cykelservice,"4.8
(96)",(44),Bicycle Shop,"Jagtvej 195, 2100 København, Denmark","
+45 27 82 23 82",No Website,"
PH59+5X Copenhagen, Denmark",55.6959924,12.4067819
Rapha,"4.7
(123)",(44),Sportswear store,"Kristen Bernikows Gade 7, 1105 København K, Denmark","
+45 33 33 03 34",https://www.rapha.cc/gb/en/clubhouses/copenhagen,"
MHJJ+2R Copenhagen, Denmark",55.6959924,12.4067819
Sorico Cykler,"4.7
(78)",(44),Bicycle Shop,"Toftegårds Allé 16, 2500 København, Denmark","
+45 36 16 06 01",http://www.sorico-cykler.dk/,"
MG88+4J Copenhagen, Denmark",55.6959924,12.4067819
BIKEFITPRO,"5.0
(117)",(44),Bicycle Shop,"Amerika Pl. 26B, St, 2100 København, Denmark","
+45 27 60 80 87",http://www.bikefitpro.dk/,"
MHXV+VP Copenhagen, Denmark",55.6959924,12.4067819
Leadout Cycling,"4.3
(170)",(44),Bicycle Shop,"Strandvejen 60, 2900 Hellerup, Denmark","
+45 23 63 63 16",https://leadoutcycling.com/,"
PHGG+WR Hellerup, Denmark",55.6959924,12.4067819
Blegdams Cykler,"4.6
(37)",(44),Bicycle Shop,"Blegdamsvej 40, 2100 København, Denmark","
+45 32 13 81 82",http://www.blegdamscykler.dk/,"
MHV8+79 Copenhagen, Denmark",55.6959924,12.4067819
The Way to Bike,"4.2
(5)",(44),Bicycle Shop,"Rømersgade 7, 1362 København, Denmark","
+45 93 80 64 42",http://www.thewaytobike.dk/,"
MHM9+83 Copenhagen, Denmark",55.6959924,12.4067819
Christiania Bikes,"4.3
(48)",(44),Bicycle Shop,"Fabriksområdet 91, 1440 København K, Denmark","
+45 70 70 76 80",https://christianiacykler.dk/,"
MJF2+FF Copenhagen, Denmark",55.6959924,12.4067819
Enghave Cykler,"4.5
(56)",(44),Bicycle Shop,"Enghavevej 63, 1674 København V, Denmark","
+45 71 32 16 83",No Website,"
MG8V+68 Copenhagen, Denmark",55.6959924,12.4067819
Vélo 94,"4.3
(92)",(44),Bicycle Shop,"Nørrebrogade 94, 2200 København N, Denmark","
+45 24 88 00 01",https://velo94.dk/,"
MHV2+3M Copenhagen, Denmark",55.6959924,12.4067819
Rosenborg Cykler,"4.5
(131)",(44),Bicycle repair shop,"Rosenborggade 3, 1130 København, Denmark","
+45 20 44 55 57",http://www.rosenborgcykler.dk/,"
MHMF+8G Copenhagen, Denmark",55.6959924,12.4067819
Søgade Cykler,"4.9
(64)",(44),Bicycle Shop,"Sølvgade 104, 1307 København K, Denmark","
+45 33 15 97 46",http://xn--sgadecykler-ggb.dk/,"
MHRC+7P Copenhagen, Denmark",55.6959924,12.4067819
Norreport Bikes,"3.8
(86)",(44),Bicycle Shop,"Nørre Voldgade 11, 1358 København, Denmark","
+45 50 82 00 04",https://norreportbikes.dk/,"
MHMC+78 Copenhagen, Denmark",55.6959924,12.4067819
Bikeshop.dk,"4.1
(29)",(44),Bicycle Shop,"Århusgade 97, 2100 København, Denmark","
+45 35 43 00 43",http://www.bikeshop.dk/,"
PH4P+RR Copenhagen, Denmark",55.6959924,12.4067819
Marry cykler,"5.0
(176)",(154),Bicycle rental service,"Frederiksborgvej 50c, 2400 København, Denmark","
+45 31 13 11 65",https://www.rentbike.nu/,"
PG4J+FW Copenhagen, Denmark",55.6959924,12.4067819
Fri BikeShop,"4.1
(115)",(154),Bicycle Shop,"Gl. Kongevej 1, 1610 København V, Denmark","
+45 33 21 80 88",https://www.fribikeshop.dk/butikker/koebenhavn/urania,"
MHF6+Q2 Copenhagen, Denmark",55.6959924,12.4067819
Cykel Mesteren,"4.8
(709)",(154),Bicycle Shop,"Borgergade 26, 1300 Indre By, Denmark","
+45 44 94 00 44",No Website,"
MHMP+WG Indre By, Copenhagen, Denmark",55.6959924,12.4067819
OMNIUM Nørrebro,"4.2
(30)",(154),Bicycle Shop,"Nørrebrogade 200, 2200 København, Denmark","
+45 30 20 44 84",https://omniumcargo.com/,"
MGXV+C5 Copenhagen, Denmark",55.6959924,12.4067819
Cykelfabrikken,"4.4
(7)",(154),Bicycle Shop,"Istedgade 92, 1650 København, Denmark","
+45 27 12 32 32",http://www.cykelfabrikken.dk/,"
MH93+J2 Copenhagen, Denmark",55.6959924,12.4067819
"Niko Cycles - Rentals, Sales, & Service","4.1
(50)",(154),Bicycle Shop,"Krusågade 2, 1719 København, Denmark","
+45 71 43 26 07",No Website,"
MH83+RQ Copenhagen, Denmark",55.6959924,12.4067819
Larry vs. Harry,"4.5
(52)",(154),Bicycle Shop,"Frederiksborggade 43, 1361 Indre By, Denmark","
+45 31 36 17 19",http://www.larryvsharry.com/,"
MHP8+87 Indre By, Copenhagen, Denmark",55.6959924,12.4067819
Pedalatleten - Elcykel testcenter,"3.7
(262)",(154),Electric bicycle store,"Oslo Pl. 9, 2100 København, Denmark","
+45 70 70 75 13",http://www.pedalatleten.dk/,"
MHRP+VH Copenhagen, Denmark",55.6959924,12.4067819
Lindhart Cykler,"4.9
(47)",(154),Bicycle Shop,"Rømersgade 7, 1362 København, Denmark","
+45 40 70 83 57",https://www.facebook.com/lindhartcykler,"
MHM9+83 Copenhagen, Denmark",55.6959924,12.4067819
Chili Bikes,"4.8
(11)",(154),Bicycle Shop,"Jagtvej 118, 2200 København, Denmark","
+45 26 80 06 25",No Website,"
MHX3+GM Copenhagen, Denmark",55.6959924,12.4067819
Cykelexperten.dk,"4.1
(587)",(154),Bicycle Shop,"Slotsherrensvej 103, 2720 København, Denmark","
+45 72 30 18 17",https://cykelexperten.dk/,"
MFXF+5W Copenhagen, Denmark",55.6979846,12.3305582
Stjerner Cykelværksted,"4.8
(106)",(154),Bicycle Shop,"Åboulevard 9D, 1635 København, Denmark","
+45 22 99 29 46",No Website,"
MHM4+69 Copenhagen, Denmark",55.6830446,12.4117361
Vesterbro Bicycles by Jens Bernhard Nielsen,"4.2
(56)",(154),Bicycle repair shop,"Saxogade 111, 1662 København, Denmark","
+45 33 22 66 42",https://www.vesterbrocykler.dk/,"
MH82+JM Copenhagen, Denmark",55.6830446,12.4117361
Jagtvej Cykler 101,"4.8
(275)",(154),Bicycle Shop,"Jagtvej 101, 2200 København N, Denmark","
+45 30 64 25 64",No Website,"
MHW2+84 Copenhagen, Denmark",55.6830446,12.4117361
Copenhagen Cycling Club,"4.9
(62)",(154),Bicycle Shop,"Rådhusvej 3, 2920 Charlottenlund, Denmark","
+45 31 19 59 48",https://copenhagencyclingclub.com/,"
QH3C+3W Charlottenlund, Denmark",55.7526993,12.4281019
Retro Cykler,"4.8
(102)",(154),Bicycle Shop,"Jagtvej 79, 2200 København, Denmark","
+45 60 15 94 44",No Website,"
MGVX+WM Copenhagen, Denmark",55.6948399,12.4050031
Fix & Færdig Bike,"4.7
(207)",(154),Bicycle repair shop,"Amagerbrogade 59, 2300 København, Denmark","
+45 93 97 56 58",https://fixogfaerdigbike.dk/,"
MJ63+R8 Copenhagen, Denmark",55.6948399,12.4050031
BikeLab CPH,"5.0
(26)",(154),Bicycle Shop,"Vesterbrogade 54, 1620 København, Denmark","
+45 61 62 25 66",https://www.bikelabcph.dk/,"
MHF3+3H Copenhagen, Denmark",55.6948399,12.4050031
Butchers & Bicycles Ltd.,"4.4
(25)",(154),Bicycle Shop,"Flæsketorvet 18, 1711 København, Denmark","
+45 71 99 88 08",http://www.butchersandbicycles.com/,"
MH95+54 Copenhagen, Denmark",55.6948399,12.4050031
Kalles Cykler,"4.2
(55)",(154),Bicycle Shop,"Amagerbrogade 37, 2300 København, Denmark","
+45 60 43 84 82",No Website,"
MJ72+Q8 Copenhagen, Denmark",55.6948399,12.4050031
29er Bike Shop,"4.8
(59)",(154),Bicycle Shop,"Ordrupvej 112, 2920 Charlottenlund, Denmark","
+45 39 65 29 29",https://29erbikeshop.dk/,"
QH59+WR Charlottenlund, Denmark",55.7598142,12.4253498
Kædesmeden,"4.9
(87)",(154),Bicycle repair shop,"Enghavevej 10, 1674 København, Denmark","
+45 93 80 73 70",https://kaedesmeden.dk/,"
MGCW+58 Copenhagen, Denmark",55.6704497,12.4015826
ELME CYKLER,"4.8
(23)",(154),Road cycling,"Nørrebrogade 32, 2200 København N, Denmark","
+45 60 60 60 18",http://www.elmecykler.dk/,"
MHQ5+HJ Copenhagen, Denmark",55.6704497,12.4015826
Heino Cykler,"4.0
(90)",(154),Bicycle Shop,"Lyngbyvej 165, 2100 København, Denmark","
+45 43 43 22 39",https://www.heino-cykler.dk/,"
PH94+Q4 Copenhagen, Denmark",55.7194478,12.4110903
Hafnia Cykler,"4.2
(43)",(154),Bicycle repair shop,"Stefansgade 51, 2200 København, Denmark","
+45 28 97 58 28",No Website,"
MGVR+2C Copenhagen, Denmark",55.7194478,12.4110903
Ama'r Cykelservice,"4.6
(130)",(154),Bicycle Shop,"Holmbladsgade 27, 2300 København S, Denmark","
+45 32 57 89 79",https://www.amarcykelservice.dk/,"
MJ84+3F Copenhagen, Denmark",55.6651289,12.4620205
Star Cykel,"2.9
(46)",(154),Bicycle Shop,"Nørrebrogade 190, 2200 København, Denmark","
+45 30 71 30 55",http://www.facebook.com/pages/Star-Cykel/412675198770009,"
MGXV+3J Copenhagen, Denmark",55.6651289,12.4620205
Kongens Cykler,"4.2
(105)",(154),Bicycle Shop,"Store Kongensgade 63, 1264 København, Denmark","
+45 50 41 50 73",No Website,"
MHMQ+V4 Copenhagen, Denmark",55.6651289,12.4620205
Staal Bikeshop,"5.0
(171)",(154),Bicycle Shop,"Dirch Passers Allé 22, 2000 Frederiksberg, Denmark","
+45 20 66 58 04",http://staalbikeshop.dk/,"
MGM3+JJ Frederiksberg, Denmark",55.6840738,12.3598323
Saxil Cykler,"4.2
(27)",(154),Bicycle Shop,"Vesterbrogade 166, 1800 Frederiksberg C, Denmark","
+45 35 35 01 15",http://www.saxiloriginal.dk/,"
MGCQ+58 Frederiksberg C, Frederiksberg, Denmark",55.6840738,12.3598323
Frb cyckelringen,"5.0
(89)",(154),Bicycle Shop,"Falkoner Alle 96, 2000 Frederiksberg, Denmark","
+45 23 82 94 00",http://frb-cykelringen.dk/,"
MGPQ+9R Frederiksberg, Denmark",55.6840738,12.3598323
Bike Time S.m.b.a,"2.6
(93)",(154),Bicycle Shop,"Amagerbrogade 124, 2300 København, Denmark","
+45 93 91 01 81",http://biketime.dk/,"
MJ55+46 Copenhagen, Denmark",55.6578235,12.4638077
Ms Cykelcenter,"3.5
(47)",(154),Bicycle repair shop,"Vester Farimagsgade 4, 1606 København, Denmark","
+45 61 65 53 15",http://mscykler.dk/,"
MHF6+RX Copenhagen, Denmark",55.6578235,12.4638077
Alex Cykler,"4.1
(85)",(154),Bicycle Shop,"Amagerfælledvej 21-23, 2300 København, Denmark","
+45 32 57 22 70",http://www.alex-cykler.dk/,"
MH8W+92 Copenhagen Municipality, Denmark",55.6578235,12.4638077
Cykelhandler,"4.6
(140)",(154),Bicycle repair shop,"Hillerødgade 22, 2200 København, Denmark",No Phone,No Website,"
MGWR+W2 Copenhagen, Denmark",55.6972507,12.395863
Uptown Bikes,"4.3
(53)",(154),Bicycle repair shop,"Frederiksberg Allé 32, 1820 Frederiksberg, Denmark","
+45 52 42 06 08",https://www.dba.dk/saelger/uptown-bikes/dbaboost/a4400682-0878-4428-af3b-250942a7317a,"
MGFW+CC Frederiksberg, Denmark",55.6972507,12.395863
Baisikeli,"4.2
(299)",(154),Bicycle Shop,"Ingerslevsgade 100, 1705 København, Denmark","
+45 26 70 02 29",http://www.baisikeli.dk/,"
MG89+HF Copenhagen, Denmark",55.6972507,12.395863
Schrøder Cykler,"3.7
(51)",(154),Bicycle Shop,"Amager Boul. 4, 2300 København, Denmark","
+45 32 54 86 19",http://www.schroeder-cykler.dk/,"
MH9J+J8 Copenhagen, Denmark",55.6972507,12.395863
Go BikeShop,"5.0
(17)",(154),Bicycle Shop,"Frederiksborgvej 114, 2400 København NV, Denmark","
+45 35 35 10 13",https://gobikeshop.dk/,"
PG6J+XW Copenhagen, Denmark",55.6972507,12.395863
Saxil Cykler Østerbro,"4.6
(117)",(154),Bicycle Shop,"Østerfælled Torv 19, 2100 København, Denmark","
+45 32 12 01 98",https://saxil-cykler.dk/,"
PH4G+7C Copenhagen, Denmark",55.6972507,12.395863
Grøndal cykler,"3.9
(40)",(154),Bicycle Shop,"Sallingvej 2, 2720 København, Denmark","
+45 38 34 34 03",http://xn--grndalcykler-wjb.dk/,"
MGV5+RP Copenhagen Municipality, Denmark",55.6972507,12.395863
Hr. Vélo,"4.6
(27)",(154),Bicycle Shop,"Vesterbrogade 135, 1620 København, Denmark",No Phone,http://www.hrvelo.dk/,"
MGCR+36 Copenhagen, Denmark",55.6972507,12.395863
City Bike Expert,"2.5
(35)",(154),Bicycle Shop,"Vesterbrogade 141, 1620 København, Denmark","
+45 33 31 76 67",No Website,"
MGCQ+2X Copenhagen, Denmark",55.6972507,12.395863
Sam Cykler,"3.6
(54)",(154),Bicycle Shop,"Amagerbrogade 16, 2300 København, Denmark","
+45 60 47 14 71",No Website,"
MH8X+Q3 Copenhagen, Denmark",55.6972507,12.395863
Københavns Cykelkooperativ,"4.3
(31)",(154),Bicycle Shop,"Blågårdsgade 13, 2200 København, Denmark","
+45 35 35 34 46",http://www.kbhck.dk/,"
MHP5+RM Copenhagen, Denmark",55.6972507,12.395863
Byman Cykler,"3.5
(48)",(154),Bicycle repair shop,"Øster Farimagsgade 32, 2100 København, Denmark","
+45 35 42 51 56",https://www.byman-cykler.dk/,"
MHRG+MJ Copenhagen, Denmark",55.6972507,12.395863
Velobless Cykler,"4.5
(10)",(154),Bicycle Shop,"Østerbrogade 147, 2100 København Ø, Denmark","
+45 39 29 09 29",https://velobless.dk/,"
PH7G+FV Copenhagen, Denmark",55.6972507,12.395863
Coh&Co,"4.9
(7)",(154),Bicycle Shop,"Telemarksgade 2, 2300 København S, Denmark","
+45 22 33 05 03",https://cohandco.com/,"
MJ52+Q7 Copenhagen, Denmark",55.6972507,12.395863
Cervéloshop,"5.0
(1)",(154),Bicycle Shop,"Istedgade 45, 1650 København, Denmark","
+45 36 89 38 00",http://www.cerveloshop.dk/,"
MH94+V5 Copenhagen, Denmark",55.6972507,12.395863
Chr.havn City Bikes,"3.0
(30)",(154),Bicycle Shop,"Torvegade 26, 1400 København, Denmark","
+45 32 95 90 99",http://www.cykelshop24.dk/chrhavn-city-cykler-koebenhavn-k.htm,"
MHFQ+6R Copenhagen, Denmark",55.6972507,12.395863
Cykel-basen/Elcykelsalg,"4.4
(115)",(154),Bicycle Shop,"Vigerslev Allé 58, 2500 Valby, Denmark","
+45 28 28 19 67",http://www.elcykelsalg.dk/,"
MG68+PH Valby, Copenhagen, Denmark",55.6972507,12.395863
Cykelbutikken,"4.5
(53)",(154),Bicycle Shop,"Hostrupsvej 3, 1950 Frederiksberg, Denmark","
+45 35 39 39 38",http://www.cykel-butikken.dk/,"
MGJP+P5 Frederiksberg, Denmark",55.6972507,12.395863
Classen's Cykler,"4.4
(17)",(154),Bicycle Shop,"Classensgade 11, 2100 København, Denmark","
+45 35 26 55 44",http://www.classenscykler.dk/,"
MHWJ+PJ Copenhagen, Denmark",55.6972507,12.395863
Cykel værkstedet,"3.6
(63)",(154),Bicycle Shop,"Nørregade 18, 1165 København, Denmark","
+45 27 85 85 84",No Website,"
MHJC+CG Copenhagen, Denmark",55.6972507,12.395863
Loke Cykler,"3.5
(12)",(154),Bicycle Shop,"Nørrebrogade 10, 2200 København, Denmark","
+45 24 88 00 03",http://www.lokecykler.dk/,"
MHQ6+2V Copenhagen, Denmark",55.6972507,12.395863
Marco Cykler,"4.6
(29)",(154),Bicycle Shop,"Jagtvej 131, 2200 København, Denmark","
+45 93 80 90 12",No Website,"
MHX3+52 Copenhagen, Denmark",55.6972507,12.395863
nihola Cykler,"4.2
(35)",(154),Bicycle Shop,"Ingerslevsgade 100, 1705 København, Denmark","
+45 33 22 79 05",http://www.nihola.dk/,"
MH85+65 Copenhagen, Denmark",55.6972507,12.395863
Royal Bike - Halmtorvets Cykler,"3.1
(36)",(154),Bicycle Shop,"Helgolandsgade 21, 1653 København, Denmark","
+45 33 22 55 25",http://www.istedgadeshopping.dk/butik/halmtorvets-cykler-13372.html,"
MHC6+CQ Copenhagen, Denmark",55.6972507,12.395863
Cykelexperten.dk,"4.1
(587)",(587),Bicycle Shop,"Slotsherrensvej 103, 2720 København, Denmark","
+45 72 30 18 17",https://cykelexperten.dk/,"
MFXF+5W Copenhagen, Denmark",55.6979846,12.3305582
Dennis & Lottes Cykler,"4.9
(127)",(587),Bicycle repair shop,"Nørre Voldgade 22, st, th, 1358 København, Denmark","
+45 71 74 71 30",http://www.delocy.dk/,"
MHJ9+24 Copenhagen, Denmark",55.6800752,12.4236623
Kgs Have Cykler,"4.9
(166)",(587),Bicycle Shop,"Sølvgade 26, 1307 København, Denmark","
+45 26 44 30 30",https://www.kgshavecykler.dk/,"
MHPJ+MQ Copenhagen, Denmark",55.6800752,12.4236623
VELOHOUSE - House of E-bikes,"4.8
(122)",(587),Electric bicycle store,"Gammel Køge Landevej 57, 2500 København, Denmark","
+45 41 37 21 00",https://velohouse.dk/,"
MG47+VF Copenhagen, Denmark",55.6800752,12.4236623
Marry cykler,"5.0
(176)",(587),Bicycle rental service,"Frederiksborgvej 50c, 2400 København, Denmark","
+45 31 13 11 65",https://www.rentbike.nu/,"
PG4J+FW Copenhagen, Denmark",55.6800752,12.4236623
Adam Cykler,"4.8
(45)",(587),Bicycle Shop,"Vesterbrogade 92, 1620 København, Denmark","
+45 61 66 63 98",http://www.vesterbrogade-shopping.dk/butik/adam-cykler-5047.html,"
MGCX+W9 Copenhagen, Denmark",55.6800752,12.4236623
Indian Bike Shop,"4.7
(41)",(587),Bicycle Shop,"Tagensvej 180, ST,TV, 2200 KØBENHAVN N, Denmark","
+45 27 21 48 06",https://www.proff.dk/firma/indian-bike-shop-vparamvir-singh/k%C3%B8benhavn-n/butikhandel/GXFUMZI10MC/,"
PG4V+8F Copenhagen, Denmark",55.6800752,12.4236623
A H Cycles,"4.4
(104)",(587),Bicycle Shop,"Istedgade 39, 1650 København, Denmark","
+45 36 89 38 00",http://www.ahcykler.dk/,"
MH94+XF Copenhagen, Denmark",55.6800752,12.4236623
Islands Brygge Cykler,"4.4
(82)",(587),Bicycle Shop,"Islands Brygge 15, 2300 København, Denmark","
+45 32 20 20 57",https://www.facebook.com/Islandsbryggecykler/,"
MH9H+37 Copenhagen, Denmark",55.6800752,12.4236623
cykelexspres klassisk &EL,"4.1
(136)",(587),Bicycle Shop,"Nørrebrogade 46, 2200 København N, Denmark","
+45 35 35 81 82",https://cykelexpres.dk/vare-kategori/herrecykler/,"
MHQ4+QM Copenhagen, Denmark",55.6800752,12.4236623
Cykel Chefen,"4.7
(151)",(587),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",55.6800752,12.4236623
Copenhagen Bike Fit,"4.6
(34)",(587),Bicycle Shop,"Randersgade 35, 2100 København, Denmark","
+45 61 65 19 92",http://copenhagenbikefit.dk/,"
PH3J+R8 Copenhagen, Denmark",55.6800752,12.4236623
Copenhagen Bikeshop,"4.5
(46)",(587),Bicycle Shop,"Jagtvej 68, 2200 København, Denmark","
+45 81 74 16 96",http://www.copenhagenbikeshop.dk/,"
MHW2+99 Copenhagen, Denmark",55.6800752,12.4236623
Hafnia Cykler,"4.2
(43)",(587),Bicycle repair shop,"Stefansgade 51, 2200 København, Denmark","
+45 28 97 58 28",No Website,"
MGVR+2C Copenhagen, Denmark",55.6800752,12.4236623
The Way to Bike,"4.2
(5)",(587),Bicycle Shop,"Rømersgade 7, 1362 København, Denmark","
+45 93 80 64 42",http://www.thewaytobike.dk/,"
MHM9+83 Copenhagen, Denmark",55.6800752,12.4236623
City Bike,"4.7
(27)",(587),Bicycle Shop,"Frederiksborggade 41, 1360 København, Denmark","
+45 28 46 68 71",No Website,"
MHP8+69 Copenhagen, Denmark",55.6800752,12.4236623
Leadout Cycling,"4.3
(170)",(587),Bicycle Shop,"Strandvejen 60, 2900 Hellerup, Denmark","
+45 23 63 63 16",https://leadoutcycling.com/,"
PHGG+WR Hellerup, Denmark",55.7272536,12.4328815
Star Cykel,"2.9
(46)",(587),Bicycle Shop,"Nørrebrogade 190, 2200 København, Denmark","
+45 30 71 30 55",http://www.facebook.com/pages/Star-Cykel/412675198770009,"
MGXV+3J Copenhagen, Denmark",55.7272536,12.4328815
Lindhart Cykler,"4.9
(47)",(587),Bicycle Shop,"Rømersgade 7, 1362 København, Denmark","
+45 40 70 83 57",https://www.facebook.com/lindhartcykler,"
MHM9+83 Copenhagen, Denmark",55.7272536,12.4328815
Vélo 94,"4.3
(92)",(587),Bicycle Shop,"Nørrebrogade 94, 2200 København N, Denmark","
+45 24 88 00 01",https://velo94.dk/,"
MHV2+3M Copenhagen, Denmark",55.7272536,12.4328815
Ms Cykelcenter,"3.5
(47)",(587),Bicycle repair shop,"Vester Farimagsgade 4, 1606 København, Denmark","
+45 61 65 53 15",http://mscykler.dk/,"
MHF6+RX Copenhagen, Denmark",55.6745688,12.4182796
Bike Time S.m.b.a,"2.6
(93)",(587),Bicycle Shop,"Amagerbrogade 124, 2300 København, Denmark","
+45 93 91 01 81",http://biketime.dk/,"
MJ55+46 Copenhagen, Denmark",55.6745688,12.4182796
Cykelhandler,"4.6
(140)",(587),Bicycle repair shop,"Hillerødgade 22, 2200 København, Denmark",No Phone,No Website,"
MGWR+W2 Copenhagen, Denmark",55.6745688,12.4182796
Velobarista,"4.7
(15)",(587),Bicycle Shop,"Valdemarsgade 65, 1665 København V, Denmark","
+45 40 58 32 24",http://velobarista.dk/,"
MG8X+XP Copenhagen, Denmark",55.6745688,12.4182796
