name,rating,category,address,phone,website,plus_code,latitude,longitude,review_count,postal_code,Location,Total,Men,Women
Rencykel.dk,4.5,Bicycle Repair Shop,"Robert Jacobsens Vej 70, 2300 Amager West, Denmark", +45 71 74 95 59,https://www.rencykel.dk/book-tid-orestad-8-tallet," JH9C+3V Amager Vest, Copenhagen, Denmark",55.6384098,12.4380306,158.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Bicycle parking,4.0,Bicycle Rack,"Hedemannsgade, 2100 Copenhagen, Denmark",,," MHWF+9G Copenhagen, Denmark",55.6959383,12.4295805,2.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Isaac Cycling service,4.8,Bicycle Shop,"Hunting Road 195, 2100 Copenhagen, Denmark", +45 27 82 23 82,," PH59+5X Copenhagen, Denmark",55.6959383,12.4295805,96.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Bikelab Cph,5.0,Bicycle Shop,"Vesterbrogade 54, 1620 Copenhagen, Denmark", +45 61 62 25 66,https://www.bikelabcph.dk/," MHF3+3H Copenhagen, Denmark",55.6959383,12.4295805,26.0,1620,1620 København V (København Municipality),3160.0,1597.0,1563.0
YK Bicycle Workshop,4.6,Bicycle Repair Shop,"Tagensvej, 2200 Copenhagen, Denmark", +45 42 67 42 44,," PH22+9R Copenhagen, Denmark",55.6959383,12.4295805,46.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
FIX & FINNING BIKE,4.7,Bicycle Repair Shop,"Amagerbrogade 59, 2300 Copenhagen, Denmark", +45 93 97 56 58,https://fixogfaerdigbike.dk/," MJ63+R8 Copenhagen, Denmark",55.6959383,12.4295805,207.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
AMA'R CYCLESS Service,4.6,Bicycle Shop,"Holmbladsgade 27, 2300 Copenhagen S, Denmark", +45 32 57 89 79,https://www.amarcykelservice.dk/," MJ84+3F Copenhagen, Denmark",55.6959383,12.4295805,130.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Dennis & Lotte's bikes,4.9,Bicycle Repair Shop,"Navy Voldgade 22, St, Th, 1358 Copenhagen, Denmark", +45 71 74 71 30,http://www.delocy.dk/," MHJ9+24 Copenhagen, Denmark",55.6959383,12.4295805,127.0,1358,1358 København K (København Municipality),393.0,199.0,194.0
Cycling place,3.7,Bicycle Shop,"Nørregade 28C, 1165 Copenhagen, Denmark",,," MHJC+MJ Copenhagen, Denmark",55.6959383,12.4295805,3.0,1165,1165 København K (København Municipality),262.0,141.0,121.0
The bicycle,4.3,Bicycle Repair Shop,"Enghavevej 51, 1674 Copenhagen, Denmark", +45 32 17 73 43,," MG9V+6W Copenhagen, Denmark",55.6959383,12.4295805,26.0,1674,1674 København V (København Municipality),1251.0,589.0,662.0
Kgs garden bikes,4.9,Bicycle Shop,"Søssøløvgade 26, 1307 Copenhagen, Denmark", +45 26 44 30 30,https://www.kgshavecykler.dk/," MHPJ+MQ Copenhagen, Denmark",55.6959383,12.4295805,166.0,1307,1307 København K (København Municipality),1681.0,691.0,990.0
Bicycle Ring |Bicycle store with Sales & Repair of Bicycles,4.2,Bicycle Repair Shop,"Peter Bangs Vej 60, 2000 Frederiksberg, Denmark", +45 38 11 70 04,https://cykelringen.dk/," MGH5+HF Frederiksberg, Denmark",55.6789187,12.3644978,26.0,2000,"2000 Frederiksberg (København Municipality, Frederiksberg Municipality)",71280.0,33522.0,37758.0
Bicycle Homas,4.8,Bicycle Repair Shop,"Ã Resundsvej 44, 2300 Copenhagen, Denmark", +45 42 60 13 13,http://www.cykelthomas.dk/," MJ67+37 Copenhagen, Denmark",55.660234,12.4689877,109.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Haider Cycle Workshop,2.1,Bicycle Repair Shop,"Gormsgade 1, 2200 Copenhagen, Denmark", +45 52 92 71 49,https://haiderscykler.dk/," MGWW+R6 Copenhagen, Denmark",55.6970762,12.4013352,38.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Recycles,4.8,Bicycle Shop,"Dybbøsgade 59, 1750 Copenhagen, Denmark", +45 31 33 90 28,http://recycles.dk/," MG8X+PC Copenhagen Municipality, Denmark",55.6970762,12.4013352,66.0,1750,1750 København V (København Municipality),820.0,408.0,412.0
Stars Bicycle Road,4.8,Bicycle Shop,"Ã Boulevard 9D, 1635 Copenhagen, Denmark", +45 22 99 29 46,," MHM4+69 Copenhagen, Denmark",55.6970762,12.4013352,106.0,1635,1635 København V (København Municipality),151.0,78.0,73.0
Bicycle repair,4.5,Bicycle Repair Shop,"Anker Heegaards Gade 2, 1572 Copenhagen, Denmark", +46 73 769 14 27,," MHCF+M3 Copenhagen, Denmark",55.6970762,12.4013352,45.0,1572,1572 København V (København Municipality),113.0,57.0,56.0
Kbh Ă Cikes,4.4,Bicycle Shop,"Ã Sterbrogade 147, 2100 Copenhagen, Denmark", +45 31 22 15 61,https://www.kbhcykler.dk/," PH7G+FV Copenhagen, Denmark",55.6970762,12.4013352,60.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Bicycle-fix,5.0,Warehouse,"Navybrogade 10, 2200 Copenhagen, Denmark", +45 72 42 05 51,," MHQ6+3V Copenhagen, Denmark",55.6970762,12.4013352,1.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Raised bicycles,4.2,Bicycle Shop,"Rae Dhus strands 9, 1466 Copenhagen, Denmark", +45 50 43 98 00,," MHGF+MR Copenhagen, Denmark",55.6970762,12.4013352,17.0,1466,1466 København K (København Municipality),110.0,60.0,50.0
France Street bikes,4.2,Bicycle Repair Shop,"Francesgade 2, 2300 Copenhagen, Denmark", +45 91 61 50 62,https://www.facebook.com/Frankrigsgade-Cykler-106674994626094," MJ64+55 Copenhagen, Denmark",55.6970762,12.4013352,25.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Bicycle dealer,4.6,Bicycle Repair Shop,"Hillerågade 22, 2200 Copenhagen, Denmark",,," MGWR+W2 Copenhagen, Denmark",55.6970762,12.4013352,140.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
E-F bikes,4.7,Road Cycling,"Emdrupvej 14, 2100 Copenhagen, Denmark", +45 39 29 89 68,," PH93+GV Copenhagen, Denmark",55.6970762,12.4013352,50.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Bike the boss,4.7,Bicycle Repair Shop,"Near Søgade 41, 1370 Copenhagen, Denmark", +45 71 45 50 73,," MHJ6+RJ Copenhagen, Denmark",55.6970762,12.4013352,151.0,1370,1370 København K (København Municipality),762.0,382.0,380.0
Gredtorvet City bikes,3.8,Bicycle Repair Shop,"Kongeeavevej 9, 2500 Copenhagen, Denmark", +45 64 63 32 22,," MG43+7W Copenhagen, Denmark",55.6970762,12.4013352,27.0,2500,2500 Valby (København Municipality),65522.0,32588.0,32934.0
Bike House I/S.,4.6,Bicycle Repair Shop,"Amagerbrogade 97, ST TH, 2300 Copenhagen S, Denmark", +45 36 20 05 88,https://www.instagram.com/bikehouse2300?igsh=NmlqZWF5eG1sdHd6," MJ54+MM Copenhagen, Denmark",55.6970762,12.4013352,21.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Morben bikes,4.8,Bicycle Repair Shop,"Vennemindevej 63, 2100 Copenhagen, Denmark", +45 39 20 38 60,http://www.morbaercykler.dk/," PH79+CC Copenhagen, Denmark",55.6970762,12.4013352,25.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
The bike tank,5.0,Bicycle Shop,"BREAGE BREATHAVNSGADE 42, 2450 COOPULATION, DENMARK", +45 40 23 14 33,http://www.cykeltanken.dk/,No Plus Code,55.640406,12.3945635,3.0,2450,2450 København SV (København Municipality),39490.0,20034.0,19456.0
Bicycle smith Amagerbrogade,4.9,Bicycle Shop,"Amagerbrogade 2, 2300 Copenhagen, Denmark", +45 32 54 77 21,http://www.cykelsmeden-amager.dk/," MH9W+8G Copenhagen, Denmark",55.640406,12.3945635,69.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Elme bikes,4.8,Road Cycling,"Navybrogade 32, 2200 Copenhagen N, Denmark", +45 60 60 60 18,http://www.elmecykler.dk/," MHQ5+HJ Copenhagen, Denmark",55.6889688,12.4148495,23.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Vesterbro Bicycles by Jens Bernhard Nielsen,4.2,Bicycle Repair Shop,"Saxogade 111, 1662 Copenhagen, Denmark", +45 33 22 66 42,https://www.vesterbrocykler.dk/," MH82+JM Copenhagen, Denmark",55.6889688,12.4148495,56.0,1662,1662 København V (København Municipality),958.0,453.0,505.0
Ama'r bicycle expert,3.2,Bicycle Shop,"Ã Resundsvej 22, 2300 Copenhagen, Denmark", +45 53 65 88 15,," MJ56+R8 Copenhagen, Denmark",55.6889688,12.4148495,15.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
MS Bicycle Center,3.5,Bicycle Repair Shop,"Vester Farimagsgade 4, 1606 Copenhagen, Denmark", +45 61 65 53 15,http://mscykler.dk/," MHF6+RX Copenhagen, Denmark",55.6889688,12.4148495,47.0,1606,1606 København V (København Municipality),219.0,110.0,109.0
Elhassan Cykeletrksted,4.8,Bicycle Repair Shop,"Navnorrebrogade 203, 2200 Copenhagen, Denmark", +45 35 83 70 78,," MGXV+57 Copenhagen, Denmark",55.6979846,12.3305582,117.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Norreport Bikes,3.8,Bicycle Shop,"Navy Voldgade 11, 1358 Copenhagen, Denmark", +45 50 82 00 04,https://norreportbikes.dk/," MHMC+78 Copenhagen, Denmark",55.6831486,12.426614,86.0,1358,1358 København K (København Municipality),393.0,199.0,194.0
City bikes,3.3,Bicycle Repair Shop,"Englandsvej 47, 2300 Copenhagen, Denmark", +45 27 71 47 47,," MJ33+84 Copenhagen, Denmark",55.6831486,12.426614,20.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Marry Cykler,5.0,Bicycle Rental Service,"Frederiksborgvej 50 C, 2400 Copenhagen, Denmark", +45 31 13 11 65,https://www.rentbike.nu/," PG4J+FW Copenhagen, Denmark",55.6831486,12.426614,176.0,2400,2400 København NV (København Municipality),54410.0,27010.0,27400.0
Tukan bikes,4.7,Bicycle Repair Shop,"Brigadevej 6, 2300 Copenhagen, Denmark", +45 23 48 17 18,https://www.facebook.com/TukanCykler/," MJ72+4F Copenhagen, Denmark",55.6831486,12.426614,13.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Bike Fixes,4.8,Bicycle Shop,"Amager Landevej 139 A B, 2770 Kastrup, Denmark", +45 91 81 13 14,," JJHF+99 Kastrup, Denmark",55.6284512,12.4792124,19.0,2770,"2770 Kastrup (København Municipality, Tårnby Municipality)",41142.0,20290.0,20852.0
Copenhagen Bicycle Cooperative,4.3,Bicycle Shop,"Blue Gåruds Gade 13, 2200 Copenhagen, Denmark", +45 35 35 34 46,http://www.kbhck.dk/," MHP5+RM Copenhagen, Denmark",55.6871125,12.4149511,31.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
The pedal athlete - electric bike test center,3.7,Electric Bicycle Store,"Oslo Pl.9, 2100 Copenhagen, Denmark", +45 70 70 75 13,http://www.pedalatleten.dk/," MHRP+VH Copenhagen, Denmark",55.6871125,12.4149511,262.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Bicycle tech,4.5,Bicycle Repair Shop,"Randersgade 57, Kåled TV, 2100 Copenhagen, Denmark", +45 31 31 89 99,https://www.cykeltech.dk/," PH4J+M3 Copenhagen, Denmark",55.6871125,12.4149511,45.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Bridge Shoe Bicycle Road,2.5,Bicycle Shop,"Frederikssundsvej 177a, st th, 2700 Copenhagen, Denmark", +45 27 82 23 32,," PF3W+RX Copenhagen, Denmark",55.6871125,12.4149511,8.0,2700,2700 Brønshøj (København Municipality),45950.0,22892.0,23058.0
POSITIFY - Bicycle Repair,5.0,Bicycle Repair Shop,"Puggaardsgade 3, 1573 Copenhagen, Denmark", +45 21 72 51 38,," MHCF+RF Copenhagen, Denmark",55.6871125,12.4149511,1.0,1573,1573 København V (København Municipality),357.0,185.0,172.0
Bike Time S.M.B.A.,2.6,Bicycle Shop,"Amagerbrogade 124, 2300 Copenhagen, Denmark", +45 93 91 01 81,http://biketime.dk/," MJ55+46 Copenhagen, Denmark",55.6871125,12.4149511,93.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Bicycle smith,4.5,Bicycle Repair Shop,"Borgergade 26, Sal 45, 1300 Copenhagen, Denmark",,," MHMP+WG Copenhagen, Denmark",55.6871125,12.4149511,45.0,1300,1300 København K (København Municipality),493.0,240.0,253.0
FC bikes,3.3,Bicycle Repair Shop,"Frederikssundsvej 312B, 2700 Copenhagen, Denmark", +45 29 21 13 14,," PF6F+MG Copenhagen, Denmark",55.711673,12.3296215,12.0,2700,2700 Brønshøj (København Municipality),45950.0,22892.0,23058.0
Bredgade14,4.9,Mobile Phone Repair Shop,"Bredgade 14, 1260 Copenhagen, Denmark", +45 22 22 12 21,https://centrumreparation.dk/butikker-centrumreparation/bredgade-14/," MHJQ+M7 Copenhagen Municipality, Denmark",55.6816767,12.4440325,22.0,1260,1260 København K (København Municipality),370.0,196.0,174.0
Alex bikes,4.1,Bicycle Shop,"Amagerfelledvej 21-23, 2300 Copenhagen, Denmark", +45 32 57 22 70,http://www.alex-cykler.dk/," MH8W+92 Copenhagen Municipality, Denmark",55.6816767,12.4440325,85.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Bicycle rack,4.5,Bicycle Rack,"2900 Copenhagen, Denmark",,," PHGG+X6 Copenhagen, Denmark",55.7274578,12.4313864,45.0,2900,"2900 Hellerup (København Municipality, Gentofte Municipality)",24799.0,11687.0,13112.0
Public bicycle pump and bicycle,5.0,Park,"JGFG+52, 2300 Copenhagen, Denmark",,,No Plus Code,55.6229427,12.3808843,1.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Triangle bicycle parking,4.5,Bicycle Rack,"Trianglen, 2100 Copenhagen, Denmark",,," MHXG+J8 Copenhagen, Denmark",55.6990596,12.4316404,45.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
The bicycle strength (Amager),3.1,Bicycle Shop,"Reberbanegade 3, 2300 Copenhagen, Denmark", +45 32 57 68 48,https://www.cykelstyrken.dk/," MJ73+2W Copenhagen, Denmark",55.6990596,12.4316404,21.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
City bike Docking Station - Study Street/Bispetorvet,4.7,Bike Sharing Station,"Study Street 1, 1455 Copenhagen, Denmark",,http://bycyklen.dk/," MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404,3.0,1455,1455 København K (København Municipality),364.0,174.0,190.0
CPH BIKE SHOP,4.4,Bicycle Shop,"Holmbladsgade 38, 2300 Copenhagen S, Denmark", +45 32 96 34 28,https://www.cphbikeshop.dk/," MJ74+XF Copenhagen, Denmark",55.6990596,12.4316404,154.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
The city bike docking station - arrow strand,3.7,Bike Sharing Station,"Arrow Street 65, 1112 Copenhagen, Denmark", +45 89 88 39 10,https://bycyklen.dk/," MHJG+QR Copenhagen, Denmark",55.6990596,12.4316404,3.0,1112,1112 København K (København Municipality),175.0,93.0,82.0
City bike Docking Station - Rae Dhus Square,4.5,Bike Sharing Station,"H. C. Andersen's Blvd.22, 1553 Copenhagen, Denmark", +45 89 88 39 10,https://bycyklen.dk/," MHG9+6F Copenhagen, Denmark",55.6990596,12.4316404,2.0,1553,1553 København V (København Municipality),418.0,210.0,208.0
R. M. Cycles,2.8,Bicycle Repair Shop,"Prinsessegade 61, 1422 Copenhagen, Denmark", +45 91 67 25 41,," MHFX+WH Copenhagen, Denmark",55.6990596,12.4316404,16.0,1422,1422 København K (København Municipality),852.0,404.0,448.0
City bike Docking Station - Sifs Plads,1.0,Bike Sharing Station,"Rådsrådsgade 90, 2200 Copenhagen, Denmark", +45 89 88 39 10,https://bycyklen.dk/," PH34+7X Copenhagen, Denmark",55.6990596,12.4316404,1.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Bike Sharing Station,4.0,Bike Sharing Station,"Study Street 1, 1455 Copenhagen, Denmark",,," MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404,1.0,1455,1455 København K (København Municipality),364.0,174.0,190.0
Cykelstativet ApS,4.5,Bicycle Shop,"Old Strand 42, 1202 Copenhagen, Denmark", +45 33 33 05 00,," MHHH+37 Copenhagen, Denmark",55.6990596,12.4316404,45.0,1202,1202 København K (København Municipality),43.0,23.0,20.0
Copenhagen Bikeshop,4.5,Bicycle Shop,"Hunting Road 68, 2200 Copenhagen, Denmark", +45 81 74 16 96,http://www.copenhagenbikeshop.dk/," MHW2+99 Copenhagen, Denmark",55.6959924,12.4067819,46.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Hunting Road Cycling 101,4.8,Bicycle Shop,"Hunting Road 101, 2200 Copenhagen N, Denmark", +45 30 64 25 64,," MHW2+84 Copenhagen, Denmark",55.6959924,12.4067819,275.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
P. H. Cycles,5.0,Bicycle Shop,"Blegdamsvej 130, 2100 Copenhagen, Denmark", +45 35 42 33 11,https://www.facebook.com/pages/PH-Cykler/131757240368969," MHXG+CC Copenhagen, Denmark",55.6959924,12.4067819,79.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Swan bikes,5.0,Bicycle Shop,"Ã Sterbrogade 165, 2100 Copenhagen, Denmark", +45 39 20 42 90,http://svanemoellenscykler.dk/," PH8G+4V Copenhagen, Denmark",55.6959924,12.4067819,265.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Garden bikes,4.9,Bicycle Repair Shop,"Hunting Road 115, 2200 Copenhagen, Denmark", +45 60 30 13 24,," MHW2+JC Copenhagen, Denmark",55.6959924,12.4067819,96.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Buddha Bikes,4.7,Bicycle Shop,"Emblasgade 175, 2100 Copenhagen, Denmark",,http://www.buddhabikes.dk/," PH53+3H Copenhagen, Denmark",55.6959924,12.4067819,298.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Sali's Bike,4.8,Bicycle Shop,"H. P. ought Gade 1, 2100 Copenhagen, Denmark", +45 71 52 95 32,https://www.salisbike.dk/," PH56+X2 Copenhagen, Denmark",55.6959924,12.4067819,302.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Lindhart bikes,4.9,Bicycle Shop,"Rørømersgade 7, 1362 Copenhagen, Denmark", +45 40 70 83 57,https://www.facebook.com/lindhartcykler," MHM9+83 Copenhagen, Denmark",55.6959924,12.4067819,47.0,1362,1362 København K (København Municipality),379.0,199.0,180.0
Neptune bikes,3.6,Bicycle Shop,"Teglholmsgade 4C, 2450 Copenhagen, Denmark", +45 61 50 50 81,https://neptuncykler.dk/," MG3V+69 Copenhagen, Denmark",55.6959924,12.4067819,182.0,2450,2450 København SV (København Municipality),39490.0,20034.0,19456.0
Søgade bikes,4.9,Bicycle Shop,"Søssøløvgade 104, 1307 Copenhagen K, Denmark", +45 33 15 97 46,http://xn--sgadecykler-ggb.dk/," MHRC+7P Copenhagen, Denmark",55.6959924,12.4067819,64.0,1307,1307 København K (København Municipality),1681.0,691.0,990.0
CPH BIKE EXPRESS,4.7,Bicycle Shop,"Borgbjergsvej 39, 2450 Copenhagen, Denmark", +45 32 12 54 77,," MG2P+4F Copenhagen, Denmark",55.6959924,12.4067819,154.0,2450,2450 København SV (København Municipality),39490.0,20034.0,19456.0
Bike the master,4.8,Bicycle Shop,"Borgergade 26, 1300 Inner City, Denmark", +45 44 94 00 44,," MHMP+WG Indre By, Copenhagen, Denmark",55.6959924,12.4067819,709.0,1300,1300 København K (København Municipality),493.0,240.0,253.0
Gold Star Cycles v/Sørren C Jörgensen,4.9,Bicycle Shop,"Amagerbrogade 9B, 2300 Copenhagen, Denmark", +45 32 58 70 49,," MH9W+3X Copenhagen, Denmark",55.6959924,12.4067819,54.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Newton cycles,4.7,Bicycle Shop,"Amagerbrogade 267, 2300 Copenhagen, Denmark", +45 32 62 30 62,https://newtoncykler.dk/," JJV8+J7 Copenhagen, Denmark",55.6959924,12.4067819,46.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
King's bikes,4.2,Bicycle Shop,"Store Kongensgade 63, 1264 Copenhagen, Denmark", +45 50 41 50 73,," MHMQ+V4 Copenhagen, Denmark",55.6959924,12.4067819,106.0,1264,1264 København K (København Municipality),1313.0,660.0,653.0
Retro bikes,4.8,Bicycle Shop,"Hunting Road 79, 2200 Copenhagen, Denmark", +45 60 15 94 44,," MGVX+WM Copenhagen, Denmark",55.6959924,12.4067819,102.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Arosa bikes,4.9,Bicycle Shop,"Vesterbrogade 135, 1620 Copenhagen, Denmark", +45 61 65 35 93,http://arosacykler.dk/," MGCR+36 Copenhagen, Denmark",55.6959924,12.4067819,47.0,1620,1620 København V (København Municipality),3160.0,1597.0,1563.0
Islands Brygge bikes,4.4,Bicycle Shop,"Islands Brygge 15, 2300 Copenhagen, Denmark", +45 32 20 20 57,https://www.facebook.com/Islandsbryggecykler/," MH9H+37 Copenhagen, Denmark",55.6959924,12.4067819,82.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
V that 94,4.3,Bicycle Shop,"Navy Brogade 94, 2200 Copenhagen N, Denmark", +45 24 88 00 01,https://velo94.dk/," MHV2+3M Copenhagen, Denmark",55.6959924,12.4067819,92.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Adam Bikes,4.8,Bicycle Shop,"Vesterbrogade 92, 1620 Copenhagen, Denmark", +45 61 66 63 98,http://www.vesterbrogade-shopping.dk/butik/adam-cykler-5047.html," MGCX+W9 Copenhagen, Denmark",55.6959924,12.4067819,45.0,1620,1620 København V (København Municipality),3160.0,1597.0,1563.0
Atlas bikes,4.7,Bicycle Shop,"Frederikssundsvej 18b, 2400 Copenhagen, Denmark", +45 35 82 78 74,http://www.atlascykler.dk/," PG2P+J5 Copenhagen, Denmark",55.6959924,12.4067819,61.0,2400,2400 København NV (København Municipality),54410.0,27010.0,27400.0
Emdrup Cycles,4.6,Bicycle Shop,"Frederiksborgvej 182, 2400 Copenhagen NV, Denmark", +45 20 61 46 60,," PGCJ+7J Copenhagen, Denmark",55.6959924,12.4067819,56.0,2400,2400 København NV (København Municipality),54410.0,27010.0,27400.0
A H Cycles,4.4,Bicycle Shop,"Istedgade 39, 1650 Copenhagen, Denmark", +45 36 89 38 00,http://www.ahcykler.dk/," MH94+XF Copenhagen, Denmark",55.6959924,12.4067819,104.0,1650,1650 København V (København Municipality),1506.0,746.0,760.0
Bike Expert,4.8,Road Cycling,"Crown Princess Street 38, 1306 Copenhagen, Denmark", +45 31 86 68 68,https://www.dba.dk/saelger/bike-expert/dbaboost/2497b837-c999-4f64-827c-87edacff9952," MHMM+W3 Copenhagen, Denmark",55.6959924,12.4067819,142.0,1306,1306 København K (København Municipality),648.0,310.0,338.0
Rosenborg Cycles,4.5,Bicycle Repair Shop,"Rosenborggade 3, 1130 Copenhagen, Denmark", +45 20 44 55 57,http://www.rosenborgcykler.dk/," MHMF+8G Copenhagen, Denmark",55.6959924,12.4067819,131.0,1130,1130 København K (København Municipality),115.0,59.0,56.0
Bicycle Express Classic & EL,4.1,Bicycle Shop,"Navy Brogade 46, 2200 Copenhagen N, Denmark", +45 35 35 81 82,https://cykelexpres.dk/vare-kategori/herrecykler/," MHQ4+QM Copenhagen, Denmark",55.6959924,12.4067819,136.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
