name,rating,reviews,category,address,phone,website,plus_code,latitude,longitude
Ama'r Cykelservice,"4.6
(130)",(587),Bicycle Shop,"Holmbladsgade 27, 2300 København S, Denmark","
+45 32 57 89 79",https://www.amarcykelservice.dk/,"
MJ84+3F Copenhagen, Denmark",55.6959383,12.4295805
Dennis & Lottes Cykler,"4.9
(127)",(587),Bicycle repair shop,"Nørre Voldgade 22, st, th, 1358 København, Denmark","
+45 71 74 71 30",http://www.delocy.dk/,"
MHJ9+24 Copenhagen, Denmark",55.6959383,12.4295805
Cykelværksted,"3.7
(3)",(587),Bicycle Shop,"Nørregade 28C, 1165 København, Denmark",No Phone,No Website,"
MHJC+MJ Copenhagen, Denmark",55.6959383,12.4295805
Cykelværkstedet,"4.3
(26)",(587),Bicycle repair shop,"Enghavevej 51, 1674 København, Denmark","
+45 32 17 73 43",No Website,"
MG9V+6W Copenhagen, Denmark",55.6959383,12.4295805
Kgs Have Cykler,"4.9
(166)",(587),Bicycle Shop,"Sølvgade 26, 1307 København, Denmark","
+45 26 44 30 30",https://www.kgshavecykler.dk/,"
MHPJ+MQ Copenhagen, Denmark",55.6959383,12.4295805
Cykelringen | Cykelbutik med Salg & Reparation af Cykler,"4.2
(26)",(587),Bicycle repair shop,"Peter Bangs Vej 60, 2000 Frederiksberg, Denmark","
+45 38 11 70 04",https://cykelringen.dk/,"
MGH5+HF Frederiksberg, Denmark",55.6789187,12.3644978
CYKELTHOMAS,"4.8
(109)",(587),Bicycle repair shop,"Øresundsvej 44, 2300 København, Denmark","
+45 42 60 13 13",http://www.cykelthomas.dk/,"
MJ67+37 Copenhagen, Denmark",55.660234,12.4689877
Haider Cycle Workshop,"2.1
(38)",(587),Bicycle repair shop,"Gormsgade 1, 2200 København, Denmark","
+45 52 92 71 49",https://haiderscykler.dk/,"
MGWW+R6 Copenhagen, Denmark",55.6970762,12.4013352
Recycles,"4.8
(66)",(587),Bicycle Shop,"Dybbølsgade 59, 1750 København, Denmark","
+45 31 33 90 28",http://recycles.dk/,"
MG8X+PC Copenhagen Municipality, Denmark",55.6970762,12.4013352
Stjerner Cykelværksted,"4.8
(106)",(587),Bicycle Shop,"Åboulevard 9D, 1635 København, Denmark","
+45 22 99 29 46",No Website,"
MHM4+69 Copenhagen, Denmark",55.6970762,12.4013352
cykel reparation,,(587),Bicycle repair shop,"Anker Heegaards Gade 2, 1572 København, Denmark","
+46 73 769 14 27",No Website,"
MHCF+M3 Copenhagen, Denmark",55.6970762,12.4013352
KBH Ø Cykler,"4.4
(60)",(587),Bicycle Shop,"Østerbrogade 147, 2100 København, Denmark","
+45 31 22 15 61",https://www.kbhcykler.dk/,"
PH7G+FV Copenhagen, Denmark",55.6970762,12.4013352
Cykel-fix,"5.0
(1)",(587),Warehouse,"Nørrebrogade 10, 2200 København, Denmark","
+45 72 42 05 51",No Website,"
MHQ6+3V Copenhagen, Denmark",55.6970762,12.4013352
Rådhusstræde Cykler,"4.2
(17)",(587),Bicycle Shop,"Rådhusstræde 9, 1466 København, Denmark","
+45 50 43 98 00",No Website,"
MHGF+MR Copenhagen, Denmark",55.6970762,12.4013352
Frankrigsgade Cykler,"4.2
(25)",(587),Bicycle repair shop,"Frankrigsgade 2, 2300 København, Denmark","
+45 91 61 50 62",https://www.facebook.com/Frankrigsgade-Cykler-106674994626094,"
MJ64+55 Copenhagen, Denmark",55.6970762,12.4013352
Cykelhandler,"4.6
(140)",(587),Bicycle repair shop,"Hillerødgade 22, 2200 København, Denmark",No Phone,No Website,"
MGWR+W2 Copenhagen, Denmark",55.6970762,12.4013352
E-F Cykler,"4.7
(50)",(587),Road cycling,"Emdrupvej 14, 2100 København, Denmark","
+45 39 29 89 68",No Website,"
PH93+GV Copenhagen, Denmark",55.6970762,12.4013352
Cykel Chefen,"4.7
(151)",(587),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",55.6970762,12.4013352
Cykel Chefen,"4.7
(151)",(13),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",55.6970762,12.4013352
Grønttorvet City Cykler,"3.8
(27)",(13),Bicycle repair shop,"Kongeæblevej 9, 2500 København, Denmark","
+45 64 63 32 22",No Website,"
MG43+7W Copenhagen, Denmark",55.6970762,12.4013352
Bike House I/S,"4.6
(21)",(13),Bicycle repair shop,"Amagerbrogade 97, st th, 2300 København S, Denmark","
+45 36 20 05 88",https://www.instagram.com/bikehouse2300?igsh=NmlqZWF5eG1sdHd6,"
MJ54+MM Copenhagen, Denmark",55.6970762,12.4013352
Morbær cykler,"4.8
(25)",(13),Bicycle repair shop,"Vennemindevej 63, 2100 København, Denmark","
+45 39 20 38 60",http://www.morbaercykler.dk/,"
PH79+CC Copenhagen, Denmark",55.6970762,12.4013352
Cykeltanken,"5.0
(3)",(13),Bicycle Shop,"Bådehavnsgade 42, 2450 København, Denmark","
+45 40 23 14 33",http://www.cykeltanken.dk/,No Plus Code,55.640406,12.3945635
Cykelsmeden Amagerbrogade,"4.9
(69)",(13),Bicycle Shop,"Amagerbrogade 2, 2300 København, Denmark","
+45 32 54 77 21",http://www.cykelsmeden-amager.dk/,"
MH9W+8G Copenhagen, Denmark",55.640406,12.3945635
ELME CYKLER,"4.8
(23)",(13),Road cycling,"Nørrebrogade 32, 2200 København N, Denmark","
+45 60 60 60 18",http://www.elmecykler.dk/,"
MHQ5+HJ Copenhagen, Denmark",55.6889688,12.4148495
Vesterbro Bicycles by Jens Bernhard Nielsen,"4.2
(56)",(13),Bicycle repair shop,"Saxogade 111, 1662 København, Denmark","
+45 33 22 66 42",https://www.vesterbrocykler.dk/,"
MH82+JM Copenhagen, Denmark",55.6889688,12.4148495
Ama'r Cykel Ekspert,"3.2
(15)",(13),Bicycle Shop,"Øresundsvej 22, 2300 København, Denmark","
+45 53 65 88 15",No Website,"
MJ56+R8 Copenhagen, Denmark",55.6889688,12.4148495
Ms Cykelcenter,"3.5
(47)",(13),Bicycle repair shop,"Vester Farimagsgade 4, 1606 København, Denmark","
+45 61 65 53 15",http://mscykler.dk/,"
MHF6+RX Copenhagen, Denmark",55.6889688,12.4148495
Cykelexperten.dk,"4.1
(587)",(13),Bicycle Shop,"Slotsherrensvej 103, 2720 København, Denmark","
+45 72 30 18 17",https://cykelexperten.dk/,"
MFXF+5W Copenhagen, Denmark",55.6979846,12.3305582
Elhassan Cykelværksted,"4.8
(117)",(13),Bicycle repair shop,"Nørrebrogade 203, 2200 København, Denmark","
+45 35 83 70 78",No Website,"
MGXV+57 Copenhagen, Denmark",55.6979846,12.3305582
Norreport Bikes,"3.8
(86)",(13),Bicycle Shop,"Nørre Voldgade 11, 1358 København, Denmark","
+45 50 82 00 04",https://norreportbikes.dk/,"
MHMC+78 Copenhagen, Denmark",55.6831486,12.426614
City Cykler,"3.3
(20)",(13),Bicycle repair shop,"Englandsvej 47, 2300 København, Denmark","
+45 27 71 47 47",No Website,"
MJ33+84 Copenhagen, Denmark",55.6831486,12.426614
Marry cykler,"5.0
(176)",(13),Bicycle rental service,"Frederiksborgvej 50c, 2400 København, Denmark","
+45 31 13 11 65",https://www.rentbike.nu/,"
PG4J+FW Copenhagen, Denmark",55.6831486,12.426614
Tukan Cykler,"4.7
(13)",(13),Bicycle repair shop,"Brigadevej 6, 2300 København, Denmark","
+45 23 48 17 18",https://www.facebook.com/TukanCykler/,"
MJ72+4F Copenhagen, Denmark",55.6831486,12.426614
Bike fixer,"4.8
(19)",(13),Bicycle Shop,"Amager Landevej 139 A B, 2770 Kastrup, Denmark","
+45 91 81 13 14",No Website,"
JJHF+99 Kastrup, Denmark",55.6284512,12.4792124
Bike fixer,"4.8
(19)",(13),Bicycle Shop,No Address,"
+45 32 96 14 11",No Website,"
MH8H+4J Copenhagen, Denmark",55.6284512,12.4792124
Københavns Cykelkooperativ,"4.3
(31)",(13),Bicycle Shop,"Blågårdsgade 13, 2200 København, Denmark","
+45 35 35 34 46",http://www.kbhck.dk/,"
MHP5+RM Copenhagen, Denmark",55.6871125,12.4149511
Pedalatleten - Elcykel testcenter,"3.7
(262)",(13),Electric bicycle store,"Oslo Pl. 9, 2100 København, Denmark","
+45 70 70 75 13",http://www.pedalatleten.dk/,"
MHRP+VH Copenhagen, Denmark",55.6871125,12.4149511
Cykeltech,,(13),Bicycle repair shop,"Randersgade 57, kælder tv, 2100 København, Denmark","
+45 31 31 89 99",https://www.cykeltech.dk/,"
PH4J+M3 Copenhagen, Denmark",55.6871125,12.4149511
Brønshøj Cykelværksted,"2.5
(8)",(13),Bicycle Shop,"Frederikssundsvej 177a, st th, 2700 København, Denmark","
+45 27 82 23 32",No Website,"
PF3W+RX Copenhagen, Denmark",55.6871125,12.4149511
Positif - Cykel Reparation,"5.0
(1)",(13),Bicycle repair shop,"Puggaardsgade 3, 1573 København, Denmark","
+45 21 72 51 38",No Website,"
MHCF+RF Copenhagen, Denmark",55.6871125,12.4149511
Bike Time S.m.b.a,"2.6
(93)",(13),Bicycle Shop,"Amagerbrogade 124, 2300 København, Denmark","
+45 93 91 01 81",http://biketime.dk/,"
MJ55+46 Copenhagen, Denmark",55.6871125,12.4149511
Cykelsmed,,(13),Bicycle repair shop,"Borgergade 26, sal 45, 1300 København, Denmark",No Phone,No Website,"
MHMP+WG Copenhagen, Denmark",55.6871125,12.4149511
FC Cykler,"3.3
(12)",(13),Bicycle repair shop,"Frederikssundsvej 312B, 2700 København, Denmark","
+45 29 21 13 14",No Website,"
PF6F+MG Copenhagen, Denmark",55.711673,12.3296215
Bredgade14,"4.9
(22)",(13),Mobile phone repair shop,"Bredgade 14, 1260 København, Denmark","
+45 22 22 12 21",https://centrumreparation.dk/butikker-centrumreparation/bredgade-14/,"
MHJQ+M7 Copenhagen Municipality, Denmark",55.6816767,12.4440325
Alex Cykler,"4.1
(85)",(13),Bicycle Shop,"Amagerfælledvej 21-23, 2300 København, Denmark","
+45 32 57 22 70",http://www.alex-cykler.dk/,"
MH8W+92 Copenhagen Municipality, Denmark",55.6816767,12.4440325
Cykelstativ,,(13),Bicycle rack,"2900 Copenhagen, Denmark",No Phone,No Website,"
PHGG+X6 Copenhagen, Denmark",55.7274578,12.4313864
Offentlige cykelpumpe og cykel værktøj,"5.0
(1)",(13),Park,"JGFG+52, 2300 København, Denmark",No Phone,No Website,No Plus Code,55.6229427,12.3808843
Trianglen cykelparkering,,(13),Bicycle rack,"Trianglen, 2100 København, Denmark",No Phone,No Website,"
MHXG+J8 Copenhagen, Denmark",55.6990596,12.4316404
Cykelstyrken (Amager),"3.1
(21)",(13),Bicycle Shop,"Reberbanegade 3, 2300 København, Denmark","
+45 32 57 68 48",https://www.cykelstyrken.dk/,"
MJ73+2W Copenhagen, Denmark",55.6990596,12.4316404
Bycyklen Docking Station - Studiestræde/Bispetorvet,"4.7
(3)",(13),Bike sharing station,"Studiestræde 1, 1455 København, Denmark",No Phone,http://bycyklen.dk/,"
MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404
CPH Bike Shop,"4.4
(154)",(13),Bicycle Shop,"Holmbladsgade 38, 2300 København S, Denmark","
+45 32 96 34 28",https://www.cphbikeshop.dk/,"
MJ74+XF Copenhagen, Denmark",55.6990596,12.4316404
Bycyklen Docking Station - Pilestræde,"3.7
(3)",(13),Bike sharing station,"Pilestræde 65, 1112 København, Denmark","
+45 89 88 39 10",https://bycyklen.dk/,"
MHJG+QR Copenhagen, Denmark",55.6990596,12.4316404
Bycyklen Docking Station - Rådhuspladsen,"4.5
(2)",(13),Bike sharing station,"H. C. Andersens Blvd. 22, 1553 København, Denmark","
+45 89 88 39 10",https://bycyklen.dk/,"
MHG9+6F Copenhagen, Denmark",55.6990596,12.4316404
R. M. Cykler,"2.8
(16)",(13),Bicycle repair shop,"Prinsessegade 61, 1422 København, Denmark","
+45 91 67 25 41",No Website,"
MHFX+WH Copenhagen, Denmark",55.6990596,12.4316404
Bycyklen Docking Station - Sifs Plads,"1.0
(1)",(13),Bike sharing station,"Rådmandsgade 90, 2200 København, Denmark","
+45 89 88 39 10",https://bycyklen.dk/,"
PH34+7X Copenhagen, Denmark",55.6990596,12.4316404
Bike Sharing Station,"4.0
(1)",(13),Bike sharing station,"Studiestræde 1, 1455 København, Denmark",No Phone,No Website,"
MHHC+PM Copenhagen, Denmark",55.6990596,12.4316404
Cykelstativet ApS,,(13),Bicycle Shop,"Gammel Strand 42, 1202 København, Denmark","
+45 33 33 05 00",No Website,"
MHHH+37 Copenhagen, Denmark",55.6990596,12.4316404
Copenhagen Bikeshop,"4.5
(46)",(587),Bicycle Shop,"Jagtvej 68, 2200 København, Denmark","
+45 81 74 16 96",http://www.copenhagenbikeshop.dk/,"
MHW2+99 Copenhagen, Denmark",55.6959924,12.4067819
Jagtvej Cykler 101,"4.8
(275)",(587),Bicycle Shop,"Jagtvej 101, 2200 København N, Denmark","
+45 30 64 25 64",No Website,"
MHW2+84 Copenhagen, Denmark",55.6959924,12.4067819
P. H. Cycles,"5.0
(79)",(587),Bicycle Shop,"Blegdamsvej 130, 2100 København, Denmark","
+45 35 42 33 11",https://www.facebook.com/pages/PH-Cykler/131757240368969,"
MHXG+CC Copenhagen, Denmark",55.6959924,12.4067819
Svanemøllens Cykler,"5.0
(265)",(587),Bicycle Shop,"Østerbrogade 165, 2100 København, Denmark","
+45 39 20 42 90",http://svanemoellenscykler.dk/,"
PH8G+4V Copenhagen, Denmark",55.6959924,12.4067819
Garden Cykler,"4.9
(96)",(587),Bicycle repair shop,"Jagtvej 115, 2200 København, Denmark","
+45 60 30 13 24",No Website,"
MHW2+JC Copenhagen, Denmark",55.6959924,12.4067819
Buddha Bikes,"4.7
(298)",(587),Bicycle Shop,"Emblasgade 175, 2100 København, Denmark",No Phone,http://www.buddhabikes.dk/,"
PH53+3H Copenhagen, Denmark",55.6959924,12.4067819
Sali's Bike,"4.8
(302)",(587),Bicycle Shop,"H. P. Ørums Gade 1, 2100 København, Denmark","
+45 71 52 95 32",https://www.salisbike.dk/,"
PH56+X2 Copenhagen, Denmark",55.6959924,12.4067819
KBH Ø Cykler,"4.4
(60)",(587),Bicycle Shop,"Østerbrogade 147, 2100 København, Denmark","
+45 31 22 15 61",https://www.kbhcykler.dk/,"
PH7G+FV Copenhagen, Denmark",55.6959924,12.4067819
Lindhart Cykler,"4.9
(47)",(587),Bicycle Shop,"Rømersgade 7, 1362 København, Denmark","
+45 40 70 83 57",https://www.facebook.com/lindhartcykler,"
MHM9+83 Copenhagen, Denmark",55.6959924,12.4067819
Neptun Cykler,"3.6
(182)",(587),Bicycle Shop,"Teglholmsgade 4C, 2450 København, Denmark","
+45 61 50 50 81",https://neptuncykler.dk/,"
MG3V+69 Copenhagen, Denmark",55.6959924,12.4067819
Søgade Cykler,"4.9
(64)",(587),Bicycle Shop,"Sølvgade 104, 1307 København K, Denmark","
+45 33 15 97 46",http://xn--sgadecykler-ggb.dk/,"
MHRC+7P Copenhagen, Denmark",55.6959924,12.4067819
CPH Bike Shop,"4.4
(154)",(587),Bicycle Shop,"Holmbladsgade 38, 2300 København S, Denmark","
+45 32 96 34 28",https://www.cphbikeshop.dk/,"
MJ74+XF Copenhagen, Denmark",55.6959924,12.4067819
CPH Bike Express,"4.7
(154)",(587),Bicycle Shop,"Borgbjergsvej 39, 2450 København, Denmark","
+45 32 12 54 77",No Website,"
MG2P+4F Copenhagen, Denmark",55.6959924,12.4067819
Cykel Mesteren,"4.8
(709)",(587),Bicycle Shop,"Borgergade 26, 1300 Indre By, Denmark","
+45 44 94 00 44",No Website,"
MHMP+WG Indre By, Copenhagen, Denmark",55.6959924,12.4067819
Gold Star Cykler v/Søren C Jørgensen,"4.9
(54)",(587),Bicycle Shop,"Amagerbrogade 9B, 2300 København, Denmark","
+45 32 58 70 49",No Website,"
MH9W+3X Copenhagen, Denmark",55.6959924,12.4067819
Newton Cykler,"4.7
(46)",(587),Bicycle Shop,"Amagerbrogade 267, 2300 København, Denmark","
+45 32 62 30 62",https://newtoncykler.dk/,"
JJV8+J7 Copenhagen, Denmark",55.6959924,12.4067819
Kongens Cykler,"4.2
(106)",(587),Bicycle Shop,"Store Kongensgade 63, 1264 København, Denmark","
+45 50 41 50 73",No Website,"
MHMQ+V4 Copenhagen, Denmark",55.6959924,12.4067819
Retro Cykler,"4.8
(102)",(587),Bicycle Shop,"Jagtvej 79, 2200 København, Denmark","
+45 60 15 94 44",No Website,"
MGVX+WM Copenhagen, Denmark",55.6959924,12.4067819
Kgs Have Cykler,"4.9
(166)",(587),Bicycle Shop,"Sølvgade 26, 1307 København, Denmark","
+45 26 44 30 30",https://www.kgshavecykler.dk/,"
MHPJ+MQ Copenhagen, Denmark",55.6959924,12.4067819
Cykel Chefen,"4.7
(151)",(587),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",55.6959924,12.4067819
Arosa Cykler,"4.9
(47)",(587),Bicycle Shop,"Vesterbrogade 135, 1620 København, Denmark","
+45 61 65 35 93",http://arosacykler.dk/,"
MGCR+36 Copenhagen, Denmark",55.6959924,12.4067819
Dennis & Lottes Cykler,"4.9
(127)",(587),Bicycle repair shop,"Nørre Voldgade 22, st, th, 1358 København, Denmark","
+45 71 74 71 30",http://www.delocy.dk/,"
MHJ9+24 Copenhagen, Denmark",55.6959924,12.4067819
Islands Brygge Cykler,"4.4
(82)",(587),Bicycle Shop,"Islands Brygge 15, 2300 København, Denmark","
+45 32 20 20 57",https://www.facebook.com/Islandsbryggecykler/,"
MH9H+37 Copenhagen, Denmark",55.6959924,12.4067819
Vélo 94,"4.3
(92)",(587),Bicycle Shop,"Nørrebrogade 94, 2200 København N, Denmark","
+45 24 88 00 01",https://velo94.dk/,"
MHV2+3M Copenhagen, Denmark",55.6959924,12.4067819
Adam Cykler,"4.8
(45)",(587),Bicycle Shop,"Vesterbrogade 92, 1620 København, Denmark","
+45 61 66 63 98",http://www.vesterbrogade-shopping.dk/butik/adam-cykler-5047.html,"
MGCX+W9 Copenhagen, Denmark",55.6959924,12.4067819
Atlas Cykler,"4.7
(61)",(587),Bicycle Shop,"Frederikssundsvej 18B, 2400 København, Denmark","
+45 35 82 78 74",http://www.atlascykler.dk/,"
PG2P+J5 Copenhagen, Denmark",55.6959924,12.4067819
Emdrup Cykler,"4.6
(56)",(587),Bicycle Shop,"Frederiksborgvej 182, 2400 København NV, Denmark","
+45 20 61 46 60",No Website,"
PGCJ+7J Copenhagen, Denmark",55.6959924,12.4067819
A H Cycles,"4.4
(104)",(587),Bicycle Shop,"Istedgade 39, 1650 København, Denmark","
+45 36 89 38 00",http://www.ahcykler.dk/,"
MH94+XF Copenhagen, Denmark",55.6959924,12.4067819
Bike Expert,"4.8
(142)",(587),Road cycling,"Kronprinsessegade 38, 1306 København, Denmark","
+45 31 86 68 68",https://www.dba.dk/saelger/bike-expert/dbaboost/2497b837-c999-4f64-827c-87edacff9952,"
MHMM+W3 Copenhagen, Denmark",55.6959924,12.4067819
Rosenborg Cykler,"4.5
(131)",(587),Bicycle repair shop,"Rosenborggade 3, 1130 København, Denmark","
+45 20 44 55 57",http://www.rosenborgcykler.dk/,"
MHMF+8G Copenhagen, Denmark",55.6959924,12.4067819
cykelexspres klassisk &EL,"4.1
(136)",(587),Bicycle Shop,"Nørrebrogade 46, 2200 København N, Denmark","
+45 35 35 81 82",https://cykelexpres.dk/vare-kategori/herrecykler/,"
MHQ4+QM Copenhagen, Denmark",55.6959924,12.4067819
Cykelexperten.dk,"4.1
(587)",(587),Bicycle Shop,"Slotsherrensvej 103, 2720 København, Denmark","
+45 72 30 18 17",https://cykelexperten.dk/,"
MFXF+5W Copenhagen, Denmark",31.4802176,73.0923008
Marry cykler,"5.0
(176)",(587),Bicycle rental service,"Frederiksborgvej 50c, 2400 København, Denmark","
+45 31 13 11 65",https://www.rentbike.nu/,"
PG4J+FW Copenhagen, Denmark",31.4802176,73.0923008
Kgs Have Cykler,"4.9
(166)",(587),Bicycle Shop,"Sølvgade 26, 1307 København, Denmark","
+45 26 44 30 30",https://www.kgshavecykler.dk/,"
MHPJ+MQ Copenhagen, Denmark",31.4802176,73.0923008
Norreport Bikes,"3.8
(86)",(587),Bicycle Shop,"Nørre Voldgade 11, 1358 København, Denmark","
+45 50 82 00 04",https://norreportbikes.dk/,"
MHMC+78 Copenhagen, Denmark",31.4802176,73.0923008
Cykel Chefen,"4.7
(151)",(587),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",31.4802176,73.0923008
Cykel Hjørnet,"4.9
(33)",(587),Bicycle repair shop,"Nygårdsvej 27, 2100 København, Denmark","
+45 42 72 29 71",No Website,"
PH6F+Q2 Copenhagen, Denmark",31.4802176,73.0923008
Sali's Bike,"4.8
(302)",(587),Bicycle Shop,"H. P. Ørums Gade 1, 2100 København, Denmark","
+45 71 52 95 32",https://www.salisbike.dk/,"
PH56+X2 Copenhagen, Denmark",31.4802176,73.0923008
Svanemøllens Cykler,"5.0
(265)",(587),Bicycle Shop,"Østerbrogade 165, 2100 København, Denmark","
+45 39 20 42 90",http://svanemoellenscykler.dk/,"
PH8G+4V Copenhagen, Denmark",31.4802176,73.0923008
Noa cykler,"3.9
(77)",(587),Bicycle Shop,"Nordre Frihavnsgade 56, 2100 København, Denmark","
+45 50 69 76 75",http://www.noacykler.dk/,"
PH2M+W7 Copenhagen, Denmark",31.4802176,73.0923008
Stjerner Cykelværksted,"4.8
(106)",(587),Bicycle Shop,"Åboulevard 9D, 1635 København, Denmark","
+45 22 99 29 46",No Website,"
MHM4+69 Copenhagen, Denmark",31.4802176,73.0923008
cykelexspres klassisk &EL,"4.1
(136)",(587),Bicycle Shop,"Nørrebrogade 46, 2200 København N, Denmark","
+45 35 35 81 82",https://cykelexpres.dk/vare-kategori/herrecykler/,"
MHQ4+QM Copenhagen, Denmark",31.4802176,73.0923008
Bike Rental Copenhagen,"3.9
(99)",(587),Bicycle rental service,"Kongens Nytorv 8, 1050 København, Denmark","
+45 93 91 18 93",http://www.bikerentalcopenhagen.dk/,"
MHJP+HH Copenhagen, Denmark",31.4802176,73.0923008
Garden Cykler,"4.9
(96)",(587),Bicycle repair shop,"Jagtvej 115, 2200 København, Denmark","
+45 60 30 13 24",No Website,"
MHW2+JC Copenhagen, Denmark",31.4802176,73.0923008
Bike Time S.m.b.a,"2.6
(93)",(587),Bicycle Shop,"Amagerbrogade 124, 2300 København, Denmark","
+45 93 91 01 81",http://biketime.dk/,"
MJ55+46 Copenhagen, Denmark",31.4802176,73.0923008
"Niko Cycles - Rentals, Sales, & Service","4.1
(50)",(587),Bicycle Shop,"Krusågade 2, 1719 København, Denmark","
+45 71 43 26 07",No Website,"
MH83+RQ Copenhagen, Denmark",31.4802176,73.0923008
Christiania Bikes,"4.3
(48)",(587),Bicycle Shop,"Fabriksområdet 91, 1440 København K, Denmark","
+45 70 70 76 80",https://christianiacykler.dk/,"
MJF2+FF Copenhagen, Denmark",31.4802176,73.0923008
Blegdams Cykler,"4.6
(37)",(587),Bicycle Shop,"Blegdamsvej 40, 2100 København, Denmark","
+45 32 13 81 82",http://www.blegdamscykler.dk/,"
MHV8+79 Copenhagen, Denmark",31.4802176,73.0923008
Baisikeli,"4.2
(299)",(587),Bicycle Shop,"Ingerslevsgade 100, 1705 København, Denmark","
+45 26 70 02 29",http://www.baisikeli.dk/,"
MG89+HF Copenhagen, Denmark",31.4802176,73.0923008
Cykel værkstedet,"3.6
(63)",(587),Bicycle Shop,"Nørregade 18, 1165 København, Denmark","
+45 27 85 85 84",No Website,"
MHJC+CG Copenhagen, Denmark",31.4802176,73.0923008
CPH Bike Rental,"4.3
(35)",(587),Bicycle rental service,"Valhøjvej 2, 2500 Valby, Denmark","
+45 26 70 02 29",No Website,"
MG89+HF Valby, Copenhagen, Denmark",31.4802176,73.0923008
